State,Name,CrimeType,NumCrimes
ohio,akron,Race,69
ohio,akron,Religion,5
ohio,akron,Orientation,14
ohio,akron,Disability,1
new mexico,albuquerque,Race,67
new mexico,albuquerque,Religion,20
new mexico,albuquerque,Orientation,37
new mexico,albuquerque,Disability,0
alaska,anchorage,Race,48
alaska,anchorage,Religion,5
alaska,anchorage,Orientation,9
alaska,anchorage,Disability,2
michigan,ann arbor,Race,32
michigan,ann arbor,Religion,15
michigan,ann arbor,Orientation,24
michigan,ann arbor,Disability,1
california,antioch,Race,21
california,antioch,Religion,2
california,antioch,Orientation,4
california,antioch,Disability,1
wisconsin,appleton,Race,18
wisconsin,appleton,Religion,2
wisconsin,appleton,Orientation,7
wisconsin,appleton,Disability,0
north carolina,asheville,Race,31
north carolina,asheville,Religion,9
north carolina,asheville,Orientation,14
north carolina,asheville,Disability,0
georgia,atlanta,Race,21
georgia,atlanta,Religion,3
georgia,atlanta,Orientation,41
georgia,atlanta,Disability,2
colorado,aurora,Race,43
colorado,aurora,Religion,7
colorado,aurora,Orientation,11
colorado,aurora,Disability,0
texas,austin,Race,47
texas,austin,Religion,9
texas,austin,Orientation,27
texas,austin,Disability,0
california,bakersfield,Race,31
california,bakersfield,Religion,3
california,bakersfield,Orientation,14
california,bakersfield,Disability,0
maryland,baltimore,Race,21
maryland,baltimore,Religion,8
maryland,baltimore,Orientation,17
maryland,baltimore,Disability,0
washington,bellingham,Race,40
washington,bellingham,Religion,4
washington,bellingham,Orientation,10
washington,bellingham,Disability,0
california,berkeley,Race,30
california,berkeley,Religion,14
california,berkeley,Orientation,15
california,berkeley,Disability,0
montana,billings,Race,33
montana,billings,Religion,9
montana,billings,Orientation,6
montana,billings,Disability,0
illinois,bloomington,Race,11
illinois,bloomington,Religion,2
illinois,bloomington,Orientation,3
illinois,bloomington,Disability,0
idaho,boise,Race,59
idaho,boise,Religion,15
idaho,boise,Orientation,17
idaho,boise,Disability,0
connecticut,bridgeport,Race,42
connecticut,bridgeport,Religion,3
connecticut,bridgeport,Orientation,15
connecticut,bridgeport,Disability,0
