Name,StateName,Count,Population,Crimes,AnnualCPC,Gini,HSPercent,latitude,longitude,
hoover,alabama,9,79892.77778,28,0.3894,0.437511111,0.720128893,33.387932,-86.806122,
anchorage,alaska,10,292943.1,64,0.2185,0.41764,0.685453339,61.218056,-149.900284,
gilbert,arizona,9,221916.3333,27,0.1352,0.366844444,0.632970906,33.33073,-111.790337,
glendale,arizona,20,220029.95,110,0.25,0.46653,0.644072513,34.1425078,-118.255075,
mesa,arizona,10,458803.2,63,0.1373,0.43407,0.651397365,33.4151843,-111.8314724,
phoenix,arizona,10,1531935.8,1264,0.8251,0.47405,0.571664895,33.4483771,-112.0740373,
tempe,arizona,9,170561.2222,35,0.228,0.468977778,0.751988015,33.4255104,-111.9400054,
yuma,arizona,10,92199.2,44,0.4772,0.4328,0.58359578,32.6926512,-114.6276916,
antioch,california,9,105404.7778,28,0.2952,0.410733333,0.621605498,38.0049214,-121.805789,
bakersfield,california,10,346564.9,48,0.1385,0.44731,0.559736433,35.3732921,-119.0187125,
berkeley,california,9,112396.2222,59,0.5833,0.533066667,0.856600872,37.8715926,-122.272747,
burbank,california,10,104782.6,46,0.439,0.43786,0.700686254,34.1808392,-118.3089661,
carson,california,9,93410.44444,20,0.2379,0.387311111,0.626727802,33.8316745,-118.281693,
chico,california,9,84252.66667,37,0.488,0.474155556,0.78070048,39.7284944,-121.8374777,
chino,california,9,81757.55556,35,0.4757,0.382066667,0.60160609,34.0122346,-117.688944,
chula vista,california,10,243054.9,45,0.1851,0.41254,0.604784293,32.6400541,-117.0841955,
clovis,california,9,97038.55556,28,0.3206,0.429644444,0.64523546,36.8252277,-119.7029194,
compton,california,9,97013.22222,23,0.2634,0.409322222,0.42363273,33.8958492,-118.2200712,
el monte,california,9,119120.3333,55,0.513,0.426722222,0.426745023,34.0686206,-118.0275667,
escondido,california,10,144199.9,51,0.3537,0.45271,0.550804172,33.1192068,-117.086421,
fresno,california,10,497208.3,79,0.1589,0.47917,0.536727442,36.7468422,-119.7725868,
fullerton,california,9,137569.8889,15,0.1212,0.4585,0.663646403,33.8703596,-117.9242966,
garden grove,california,10,171771.8,37,0.2154,0.4221,0.56655974,33.7739053,-117.9414477,
huntington beach,california,10,196726.2,71,0.3609,0.43979,0.735538032,33.660297,-117.9992265,
irvine,california,9,226194.1111,35,0.1719,0.448044444,0.763492026,33.6839473,-117.7946942,
lakewood,california,17,110242,52,0.2775,0.396405882,0.699739842,41.4819932,-81.7981908,
lancaster,california,10,153676.7,82,0.5336,0.45753,0.581227268,34.6868,-118.1542,
livermore,california,9,82769.77778,34,0.4564,0.397033333,0.679220827,37.6818745,-121.7680088,
long beach,california,10,471273,111,0.2355,0.47298,0.590849237,33.7700504,-118.1937395,
los angeles,california,9,3894868.778,1646,0.4696,0.418344444,0.011497164,34.0522342,-118.2436849,
modesto,california,10,206848.9,63,0.3046,0.45105,0.589000907,37.6390972,-120.9968782,
moreno valley,california,9,196428,26,0.1471,0.394388889,0.521322918,33.9424658,-117.2296717,
newport beach,california,9,84361.44444,36,0.4742,0.5405,0.815633531,33.6189101,-117.9289469,
norwalk,california,20,96168.3,81,0.4211,0.43192,0.629387703,33.9022,-118.0817,
oakland,california,10,405984.9,131,0.3227,0.51201,0.616350776,37.8043637,-122.2711137,
oceanside,california,10,171790.8,88,0.5123,0.42576,0.653667368,33.1958696,-117.3794834,
orange,california,11,119195.6364,26,0.1983,0.433672727,0.750962172,33.7877944,-117.8531119,
oxnard,california,9,198544,41,0.2294,0.406711111,0.472847488,34.1975048,-119.1770516,
palmdale,california,9,150796,69,0.5084,0.4234,0.50778684,34.5794343,-118.1164613,
pasadena,california,10,143667.5,62,0.4316,0.50104,0.659415596,34.1478,-118.1445,
redding,california,10,91236.1,93,1.0193,0.45756,0.698224014,40.5865396,-122.3916754,
redondo beach,california,9,67748.66667,39,0.6396,0.420044444,0.759699765,33.8491816,-118.3884078,
richmond,california,19,159484.8947,82,0.2706,0.492331579,0.639400906,37.9358,-122.3477,
riverside,california,10,309906.4,161,0.5195,0.43142,0.595927663,33.9533487,-117.3961564,
sacramento,california,10,475529.8,158,0.3323,0.45834,0.623128487,38.5815719,-121.4943996,
san bernardino,california,9,208193.8889,28,0.1494,0.439777778,0.47924117,34.1083449,-117.2897652,
san diego,california,10,1330040.4,424,0.3188,0.46891,0.690033098,32.715738,-117.1610838,
san francisco,california,9,808847.2222,430,0.5907,0.514411111,0.759945132,37.7749295,-122.4194155,
san jose,california,10,977919.5,223,0.228,0.44277,0.627378235,37.3382082,-121.8863286,
san leandro,california,10,84389.4,55,0.6517,0.41259,0.681249071,37.7249296,-122.1560768,
san mateo,california,10,97699.9,33,0.3378,0.44443,0.715923406,37.5629917,-122.3255254,
santa clarita,california,9,189277,53,0.3111,0.394977778,0.619878683,34.3916641,-118.542586,
santa rosa,california,9,165209,20,0.1345,0.437711111,0.660207391,38.440429,-122.7140548,
south gate,california,9,96519.11111,14,0.1612,0.395877778,0.400119375,33.954737,-118.2120161,
stockton,california,10,297859.4,39,0.1309,0.45815,0.524895283,37.9577016,-121.2907796,
torrance,california,9,146002.7778,21,0.1598,0.428788889,0.733744517,33.8358492,-118.3406288,
turlock,california,10,70323.5,20,0.2844,0.44079,0.600968309,37.4946568,-120.8465941,
union city,california,15,69271.26667,45,0.4331,0.414453333,0.602457921,37.5934,-122.0438,
ventura,california,10,107157.1,31,0.2893,0.42494,0.695170243,34.280491,-119.294518,
visalia,california,9,123725.1111,25,0.2245,0.440488889,0.576039297,36.3302284,-119.2920585,
