State,Name,Year,Crimes,Gini,HSPercent
alabama,hoover,2016,0.3505,0.473,0.7
alabama,hoover,2015,0.4697,0.422,0.709
alabama,hoover,2014,0.2357,0.455,0.745
alabama,hoover,2013,0.1189,0.425,0.709
alabama,hoover,2012,0.7288,0.435,0.681
alabama,hoover,2011,0.2439,0.43,0.683
alabama,hoover,2010,0.2678,0.402,0.727
alabama,hoover,2009,0.8483,0.46,0.72
alabama,hoover,2008,0.2877,0.436,0.807
alaska,anchorage,2016,0.1337,0.402,0.699
alaska,anchorage,2015,0.166,0.453,0.693
alaska,anchorage,2014,0.1991,0.417,0.694
alaska,anchorage,2013,0.2672,0.404,0.687
alaska,anchorage,2012,0.2006,0.42,0.686
alaska,anchorage,2011,0.2694,0.414,0.676
alaska,anchorage,2010,0.2411,0.427,0.683
alaska,anchorage,2009,0.2142,0.399,0.692
alaska,anchorage,2008,0.2815,0.412,0.671
alaska,anchorage,2007,0.2161,0.429,0.671
arizona,gilbert,2016,0.0391,0.381,0.606
arizona,gilbert,2015,0.1617,0.365,0.658
arizona,gilbert,2014,0.085,0.368,0.643
arizona,gilbert,2013,0.0444,0.381,0.651
arizona,gilbert,2012,0.0933,0.372,0.67
arizona,gilbert,2011,0.0946,0.385,0.621
arizona,gilbert,2009,0.2269,0.334,0.651
arizona,gilbert,2008,0.3387,0.356,0.535
arizona,gilbert,2007,0.1661,0.361,0.661
arizona,glendale,2016,0.0412,0.454,0.647
arizona,glendale,2015,0.3328,0.46,0.609
arizona,glendale,2014,0.3801,0.467,0.62
arizona,glendale,2013,0.2991,0.466,0.602
arizona,glendale,2012,0.3434,0.438,0.611
arizona,glendale,2011,0.3914,0.433,0.63
arizona,glendale,2010,0.5298,0.427,0.54
arizona,glendale,2009,0.3117,0.414,0.596
arizona,glendale,2008,0.4791,0.428,0.542
arizona,glendale,2007,0.2011,0.455,0.548
arizona,mesa,2016,0.1045,0.457,0.673
arizona,mesa,2015,0.0849,0.452,0.662
arizona,mesa,2014,0.2164,0.443,0.652
arizona,mesa,2013,0.0438,0.438,0.652
arizona,mesa,2012,0.0443,0.438,0.657
arizona,mesa,2011,0.1797,0.433,0.648
arizona,mesa,2010,0.1546,0.425,0.621
arizona,mesa,2009,0.2846,0.419,0.653
arizona,mesa,2008,0.198,0.421,0.655
arizona,mesa,2007,0.0653,0.415,0.641
arizona,phoenix,2016,1.103,0.48,0.601
arizona,phoenix,2015,1.481,0.489,0.591
arizona,phoenix,2014,1.1962,0.481,0.595
arizona,phoenix,2013,0.5392,0.479,0.595
arizona,phoenix,2012,0.8145,0.469,0.585
arizona,phoenix,2011,0.839,0.472,0.579
arizona,phoenix,2010,0.8741,0.485,0.545
arizona,phoenix,2009,0.5612,0.464,0.551
arizona,phoenix,2008,0.5189,0.461,0.538
