City,State,Value,Count,Type,Region
Abilene,Texas,European-American/White,2,Race,City
Akron,Ohio,African-American/Black,3,Race,City
Akron,Ohio,European-American/White,6,Race,City
Akron,Ohio,Middle Eastern,1,Race,City
Akron,Ohio,Race unspecified,1,Race,City
Alameda,California,African-American/Black,1,Race,City
Albany,Georgia,African-American/Black,1,Race,City
Albany,Georgia,Race unspecified,1,Race,City
Albany,New York,African-American/Black,1,Race,City
Albany,New York,European-American/White,1,Race,City
Albuquerque,New Mexico,African-American/Black,1,Race,City
Albuquerque,New Mexico,European-American/White,12,Race,City
Albuquerque,New Mexico,Hispanic/Latino,22,Race,City
Albuquerque,New Mexico,Native American/Alaskan,1,Race,City
Albuquerque,New Mexico,Race unspecified,3,Race,City
Alexandria,Virginia,European-American/White,1,Race,City
Alexandria,Virginia,Hispanic/Latino,1,Race,City
Alexandria,Virginia,Race unspecified,1,Race,City
Alhambra,California,Hispanic/Latino,1,Race,City
Allen,Texas,African-American/Black,1,Race,City
Allen,Texas,Race unspecified,1,Race,City
Amarillo,Texas,African-American/Black,2,Race,City
Amarillo,Texas,European-American/White,3,Race,City
Amarillo,Texas,Hispanic/Latino,3,Race,City
Amarillo,Texas,Race unspecified,2,Race,City
Anaheim,California,African-American/Black,4,Race,City
Anaheim,California,European-American/White,1,Race,City
Anaheim,California,Hispanic/Latino,5,Race,City
Anaheim,California,Race unspecified,4,Race,City
Anchorage,Alaska,European-American/White,4,Race,City
Anchorage,Alaska,Hispanic/Latino,1,Race,City
Anchorage,Alaska,Native American/Alaskan,3,Race,City
Anchorage,Alaska,Race unspecified,5,Race,City
Antioch,California,African-American/Black,4,Race,City
Antioch,California,European-American/White,2,Race,City
Antioch,California,Hispanic/Latino,3,Race,City
Apple Valley,California,European-American/White,1,Race,City
Apple Valley,California,Hispanic/Latino,1,Race,City
Appleton,Wisconsin,African-American/Black,2,Race,City
Appleton,Wisconsin,European-American/White,1,Race,City
Arlington,Texas,African-American/Black,5,Race,City
Arlington,Texas,European-American/White,2,Race,City
Arlington,Texas,Hispanic/Latino,2,Race,City
Arlington,Texas,Race unspecified,2,Race,City
Arlington,Virginia,Asian/Pacific Islander,1,Race,City
Arlington,Virginia,European-American/White,1,Race,City
Arlington,Virginia,Race unspecified,1,Race,City
Arvada,Colorado,Hispanic/Latino,2,Race,City
Asheville,North Carolina,African-American/Black,1,Race,City
Atlanta,Georgia,African-American/Black,21,Race,City
Atlanta,Georgia,Asian/Pacific Islander,1,Race,City
Atlanta,Georgia,European-American/White,2,Race,City
Atlanta,Georgia,Race unspecified,5,Race,City
Auburn,Washington,African-American/Black,1,Race,City
Auburn,Washington,Asian/Pacific Islander,1,Race,City
Auburn,Washington,European-American/White,1,Race,City
Auburn,Washington,Native American/Alaskan,1,Race,City
Auburn,Washington,Race unspecified,1,Race,City
Aurora,Colorado,African-American/Black,4,Race,City
Aurora,Colorado,Asian/Pacific Islander,1,Race,City
Aurora,Colorado,European-American/White,2,Race,City
Aurora,Colorado,Race unspecified,5,Race,City
Aurora,Illinois,Hispanic/Latino,2,Race,City
Austin,Texas,African-American/Black,4,Race,City
Austin,Texas,European-American/White,15,Race,City
Austin,Texas,Hispanic/Latino,4,Race,City
Austin,Texas,Middle Eastern,1,Race,City
Austin,Texas,Race unspecified,3,Race,City
Avondale,Arizona,European-American/White,2,Race,City
Avondale,Arizona,Hispanic/Latino,1,Race,City
Bakersfield,California,African-American/Black,2,Race,City
Bakersfield,California,European-American/White,7,Race,City
Bakersfield,California,Hispanic/Latino,12,Race,City
Bakersfield,California,Race unspecified,5,Race,City
Baltimore,Maryland,African-American/Black,18,Race,City
Baltimore,Maryland,European-American/White,1,Race,City
Baltimore,Maryland,Race unspecified,3,Race,City
Baton Rouge,Louisiana,African-American/Black,18,Race,City
Beaumont,Texas,African-American/Black,1,Race,City
Beaumont,Texas,European-American/White,5,Race,City
Beaverton,Oregon,European-American/White,3,Race,City
Bellflower,California,Hispanic/Latino,1,Race,City
Bellflower,California,Race unspecified,1,Race,City
Bellingham,Washington,Hispanic/Latino,1,Race,City
Bend,Oregon,European-American/White,4,Race,City
Bend,Oregon,Race unspecified,1,Race,City
Berkeley,California,African-American/Black,1,Race,City
Bethlehem,Pennsylvania,African-American/Black,1,Race,City
Bethlehem,Pennsylvania,European-American/White,2,Race,City
Billings,Montana,European-American/White,5,Race,City
Billings,Montana,Native American/Alaskan,2,Race,City
Billings,Montana,Race unspecified,1,Race,City
Birmingham,Alabama,African-American/Black,7,Race,City
Birmingham,Alabama,European-American/White,7,Race,City
Birmingham,Alabama,Race unspecified,2,Race,City
Bismarck,North Dakota,European-American/White,2,Race,City
Bloomington,Illinois,Race unspecified,1,Race,City
Bloomington,Indiana,European-American/White,1,Race,City
Bloomington,Minnesota,European-American/White,4,Race,City
Boca Raton,Florida,Race unspecified,1,Race,City
Bossier City,Louisiana,European-American/White,1,Race,City
Boston,Massachusetts,African-American/Black,4,Race,City
