City,State,Value,Count,Type,Region
Abilene,Texas,Gunshot,2,Cause,City
Akron,Ohio,Gunshot,8,Cause,City
Akron,Ohio,Tasered,2,Cause,City
Akron,Ohio,Vehicle,1,Cause,City
Alameda,California,Gunshot,1,Cause,City
Albany,Georgia,Gunshot,2,Cause,City
Albany,New York,Gunshot,1,Cause,City
Albany,New York,Tasered,1,Cause,City
Albuquerque,New Mexico,Gunshot,29,Cause,City
Albuquerque,New Mexico,Tasered,1,Cause,City
Albuquerque,New Mexico,Vehicle,8,Cause,City
Alexandria,Virginia,Asphyxiated/Restrained,1,Cause,City
Alexandria,Virginia,Gunshot,1,Cause,City
Alexandria,Virginia,Vehicle,1,Cause,City
Alhambra,California,Gunshot,1,Cause,City
Allen,Texas,Gunshot,2,Cause,City
Amarillo,Texas,Gunshot,10,Cause,City
Anaheim,California,Asphyxiated/Restrained,2,Cause,City
Anaheim,California,Gunshot,8,Cause,City
Anaheim,California,Tasered,1,Cause,City
Anaheim,California,Vehicle,3,Cause,City
Anchorage,Alaska,Gunshot,12,Cause,City
Antioch,California,Asphyxiated/Restrained,1,Cause,City
Antioch,California,Gunshot,4,Cause,City
Antioch,California,Vehicle,4,Cause,City
Apple Valley,California,Gunshot,2,Cause,City
Appleton,Wisconsin,Gunshot,3,Cause,City
Arlington,Texas,Gunshot,10,Cause,City
Arlington,Virginia,Gunshot,3,Cause,City
Arvada,Colorado,Gunshot,2,Cause,City
Asheville,North Carolina,Gunshot,1,Cause,City
Atlanta,Georgia,Gunshot,16,Cause,City
Atlanta,Georgia,Tasered,1,Cause,City
Atlanta,Georgia,Vehicle,12,Cause,City
Auburn,Washington,Gunshot,5,Cause,City
Aurora,Colorado,Gunshot,12,Cause,City
Aurora,Illinois,Gunshot,2,Cause,City
Austin,Texas,Gunshot,25,Cause,City
Austin,Texas,Tasered,1,Cause,City
Avondale,Arizona,Gunshot,3,Cause,City
Bakersfield,California,Gunshot,23,Cause,City
Bakersfield,California,Vehicle,2,Cause,City
Baltimore,Maryland,Gunshot,16,Cause,City
Baltimore,Maryland,Medical emergency,1,Cause,City
Baltimore,Maryland,Vehicle,5,Cause,City
Baton Rouge,Louisiana,Gunshot,12,Cause,City
Baton Rouge,Louisiana,Tasered,1,Cause,City
Baton Rouge,Louisiana,Vehicle,5,Cause,City
Beaumont,Texas,Gunshot,3,Cause,City
Beaumont,Texas,Medical emergency,1,Cause,City
Beaumont,Texas,Vehicle,1,Cause,City
Beaverton,Oregon,Gunshot,3,Cause,City
Bellflower,California,Gunshot,2,Cause,City
Bellingham,Washington,Gunshot,1,Cause,City
Bend,Oregon,Gunshot,4,Cause,City
Bend,Oregon,Vehicle,1,Cause,City
Berkeley,California,Gunshot,1,Cause,City
Bethlehem,Pennsylvania,Gunshot,2,Cause,City
Bethlehem,Pennsylvania,Vehicle,1,Cause,City
Billings,Montana,Gunshot,8,Cause,City
Birmingham,Alabama,Gunshot,10,Cause,City
Birmingham,Alabama,Tasered,1,Cause,City
Birmingham,Alabama,Vehicle,5,Cause,City
Bismarck,North Dakota,Gunshot,2,Cause,City
Bloomington,Illinois,Gunshot,1,Cause,City
Bloomington,Indiana,Gunshot,1,Cause,City
Bloomington,Minnesota,Gunshot,1,Cause,City
Bloomington,Minnesota,Vehicle,3,Cause,City
Boca Raton,Florida,Vehicle,1,Cause,City
Bossier City,Louisiana,Gunshot,1,Cause,City
Boston,Massachusetts,Gunshot,5,Cause,City
Boulder,Colorado,Gunshot,3,Cause,City
Brandon,Florida,Gunshot,1,Cause,City
Bridgeport,Connecticut,Gunshot,1,Cause,City
Bridgeport,Connecticut,Vehicle,2,Cause,City
Brockton,Massachusetts,Gunshot,2,Cause,City
Broomfield,Colorado,Gunshot,1,Cause,City
Brownsville,Texas,Gunshot,4,Cause,City
Buena Park,California,Vehicle,1,Cause,City
Buffalo,New York,Asphyxiated/Restrained,1,Cause,City
Buffalo,New York,Gunshot,3,Cause,City
Buffalo,New York,Vehicle,1,Cause,City
Burbank,California,Gunshot,3,Cause,City
Burbank,California,Tasered,1,Cause,City
Camarillo,California,Gunshot,1,Cause,City
Camden,New Jersey,Gunshot,3,Cause,City
Canton,Ohio,Gunshot,1,Cause,City
Cape Coral,Florida,Gunshot,4,Cause,City
Carmichael,California,Gunshot,3,Cause,City
Carrollton,Texas,Gunshot,1,Cause,City
Carson,California,Gunshot,1,Cause,City
Cary,North Carolina,Gunshot,1,Cause,City
Cedar Rapids,Iowa,Gunshot,2,Cause,City
Cedar Rapids,Iowa,Vehicle,1,Cause,City
Centennial,Colorado,Gunshot,2,Cause,City
Champaign,Illinois,Gunshot,1,Cause,City
Chandler,Arizona,Gunshot,4,Cause,City
Charleston,South Carolina,Gunshot,4,Cause,City
Charlotte,North Carolina,Gunshot,17,Cause,City
Charlotte,North Carolina,Vehicle,4,Cause,City
Chattanooga,Tennessee,Gunshot,7,Cause,City
Chesapeake,Virginia,Gunshot,3,Cause,City
Chesapeake,Virginia,Vehicle,1,Cause,City
Chicago,Illinois,Asphyxiated/Restrained,1,Cause,City
Chicago,Illinois,Gunshot,39,Cause,City
Chicago,Illinois,Vehicle,19,Cause,City
Chico,California,Gunshot,3,Cause,City
Chico,California,Vehicle,1,Cause,City
Chino,California,Gunshot,2,Cause,City
Chula Vista,California,Gunshot,3,Cause,City
Chula Vista,California,Vehicle,1,Cause,City
Cincinnati,Ohio,Gunshot,13,Cause,City
Cincinnati,Ohio,Tasered,1,Cause,City
Cincinnati,Ohio,Vehicle,4,Cause,City
Citrus Heights,California,Gunshot,4,Cause,City
Clarksville,Tennessee,Gunshot,2,Cause,City
Clearwater,Florida,Gunshot,1,Cause,City
Cleveland,Ohio,Gunshot,11,Cause,City
Cleveland,Ohio,Vehicle,5,Cause,City
Clovis,California,Gunshot,1,Cause,City
Colorado Springs,Colorado,Gunshot,14,Cause,City
Colorado Springs,Colorado,Tasered,1,Cause,City
Colorado Springs,Colorado,Vehicle,1,Cause,City
Columbia,Maryland,Gunshot,1,Cause,City
Columbia,Missouri,Gunshot,4,Cause,City
Columbia,South Carolina,Gunshot,4,Cause,City
Columbia,South Carolina,Vehicle,4,Cause,City
Columbus,Georgia,Asphyxiated/Restrained,1,Cause,City
Columbus,Georgia,Gunshot,4,Cause,City
Columbus,Georgia,Vehicle,2,Cause,City
Columbus,Ohio,Gunshot,30,Cause,City
Columbus,Ohio,Vehicle,1,Cause,City
Compton,California,Gunshot,4,Cause,City
Concord,California,Gunshot,1,Cause,City
Concord,California,Vehicle,1,Cause,City
Conroe,Texas,Gunshot,5,Cause,City
Conroe,Texas,Vehicle,2,Cause,City
Coral Springs,Florida,Gunshot,1,Cause,City
Corona,California,Gunshot,2,Cause,City
Corpus Christi,Texas,Gunshot,5,Cause,City
Corpus Christi,Texas,Tasered,1,Cause,City
Costa Mesa,California,Gunshot,1,Cause,City
Dallas,Texas,Asphyxiated/Restrained,1,Cause,City
Dallas,Texas,Gunshot,22,Cause,City
Dallas,Texas,Medical emergency,3,Cause,City
Dallas,Texas,Tasered,1,Cause,City
Daly City,California,Tasered,1,Cause,City
Daly City,California,Vehicle,1,Cause,City
Danbury,Connecticut,Vehicle,5,Cause,City
Davenport,Iowa,Gunshot,2,Cause,City
Davie,Florida,Gunshot,3,Cause,City
Davis,California,Gunshot,1,Cause,City
Dayton,Ohio,Gunshot,6,Cause,City
Dayton,Ohio,Vehicle,2,Cause,City
Dearborn,Michigan,Gunshot,2,Cause,City
Decatur,Illinois,Vehicle,1,Cause,City
Delray Beach,Florida,Gunshot,2,Cause,City
Deltona,Florida,Gunshot,6,Cause,City
Denton,Texas,Gunshot,2,Cause,City
Denver,Colorado,Gunshot,26,Cause,City
Denver,Colorado,Vehicle,1,Cause,City
Des Moines,Iowa,Gunshot,3,Cause,City
Des Moines,Iowa,Vehicle,3,Cause,City
Detroit,Michigan,Gunshot,14,Cause,City
Detroit,Michigan,Vehicle,20,Cause,City
Dothan,Alabama,Vehicle,1,Cause,City
Downey,California,Gunshot,1,Cause,City
Durham,North Carolina,Gunshot,5,Cause,City
Durham,North Carolina,Vehicle,2,Cause,City
Eagan,Minnesota,Gunshot,1,Cause,City
East Los Angeles,California,Gunshot,2,Cause,City
East Orange,New Jersey,Gunshot,1,Cause,City
Eau Claire,Wisconsin,Gunshot,4,Cause,City
Edinburg,Texas,Asphyxiated/Restrained,1,Cause,City
Edinburg,Texas,Gunshot,1,Cause,City
Edmond,Oklahoma,Gunshot,2,Cause,City
El Cajon,California,Gunshot,3,Cause,City
El Cajon,California,Vehicle,1,Cause,City
El Monte,California,Gunshot,2,Cause,City
El Paso,Texas,Gunshot,11,Cause,City
El Paso,Texas,Vehicle,1,Cause,City
Elgin,Illinois,Gunshot,1,Cause,City
Elizabeth,New Jersey,Vehicle,2,Cause,City
Elk Grove,California,Gunshot,2,Cause,City
Elk Grove,California,Tasered,1,Cause,City
Enterprise,Nevada,Gunshot,1,Cause,City
Erie,Pennsylvania,Gunshot,2,Cause,City
Escondido,California,Gunshot,1,Cause,City
Escondido,California,Vehicle,2,Cause,City
Eugene,Oregon,Gunshot,3,Cause,City
Eugene,Oregon,Vehicle,1,Cause,City
Evansville,Indiana,Gunshot,4,Cause,City
Evansville,Indiana,Vehicle,4,Cause,City
Everett,Washington,Gunshot,2,Cause,City
Everett,Washington,Tasered,1,Cause,City
Fairfield,California,Gunshot,1,Cause,City
Fairfield,California,Medical emergency,1,Cause,City
Fall River,Massachusetts,Gunshot,1,Cause,City
Fall River,Massachusetts,Tasered,1,Cause,City
Fargo,North Dakota,Gunshot,2,Cause,City
Fayetteville,Arkansas,Gunshot,2,Cause,City
Fayetteville,Arkansas,Medical emergency,1,Cause,City
Fayetteville,North Carolina,Gunshot,4,Cause,City
Fayetteville,North Carolina,Vehicle,3,Cause,City
Federal Way,Washington,Gunshot,4,Cause,City
Flagstaff,Arizona,Gunshot,5,Cause,City
Flint,Michigan,Gunshot,1,Cause,City
Flint,Michigan,Tasered,1,Cause,City
Folsom,California,Vehicle,1,Cause,City
Fontana,California,Gunshot,5,Cause,City
Fort Collins,Colorado,Gunshot,7,Cause,City
Fort Lauderdale,Florida,Gunshot,3,Cause,City
Fort Lauderdale,Florida,Medical emergency,1,Cause,City
Fort Myers,Florida,Gunshot,2,Cause,City
Fort Smith,Arkansas,Gunshot,1,Cause,City
Fort Wayne,Indiana,Gunshot,6,Cause,City
Fort Wayne,Indiana,Medical emergency,1,Cause,City
Fort Wayne,Indiana,Vehicle,1,Cause,City
Fort Worth,Texas,Gunshot,14,Cause,City
Fort Worth,Texas,Vehicle,2,Cause,City
Franklin,Tennessee,Gunshot,1,Cause,City
Frederick,Maryland,Gunshot,1,Cause,City
Fremont,California,Gunshot,6,Cause,City
Fresno,California,Gunshot,13,Cause,City
Fresno,California,Vehicle,3,Cause,City
Fullerton,California,Gunshot,2,Cause,City
Gainesville,Florida,Gunshot,2,Cause,City
Garden Grove,California,Gunshot,1,Cause,City
Garden Grove,California,Vehicle,1,Cause,City
Garland,Texas,Gunshot,3,Cause,City
Garland,Texas,Vehicle,1,Cause,City
Gary,Indiana,Gunshot,5,Cause,City
Gary,Indiana,Vehicle,1,Cause,City
Gastonia,North Carolina,Gunshot,4,Cause,City
Gastonia,North Carolina,Vehicle,2,Cause,City
Gilbert,Arizona,Gunshot,3,Cause,City
Glen Burnie,Maryland,Gunshot,1,Cause,City
Glendale,Arizona,Gunshot,9,Cause,City
Glendale,Arizona,Vehicle,2,Cause,City
Glendale,California,Gunshot,1,Cause,City
Goodyear,Arizona,Gunshot,1,Cause,City
Grand Prairie,Texas,Gunshot,2,Cause,City
Grand Rapids,Michigan,Gunshot,2,Cause,City
Greeley,Colorado,Gunshot,5,Cause,City
Greeley,Colorado,Vehicle,1,Cause,City
Green Bay,Wisconsin,Gunshot,3,Cause,City
Green Bay,Wisconsin,Vehicle,1,Cause,City
Greensboro,North Carolina,Gunshot,2,Cause,City
Greensboro,North Carolina,Vehicle,5,Cause,City
Greenville,North Carolina,Gunshot,4,Cause,City
Gresham,Oregon,Gunshot,2,Cause,City
Gulfport,Mississippi,Gunshot,5,Cause,City
Gulfport,Mississippi,Tasered,1,Cause,City
Gulfport,Mississippi,Vehicle,1,Cause,City
Hammond,Indiana,Gunshot,1,Cause,City
Hampton,Virginia,Gunshot,1,Cause,City
Harlingen,Texas,Gunshot,2,Cause,City
Hartford,Connecticut,Tasered,1,Cause,City
Hawthorne,California,Gunshot,1,Cause,City
Hayward,California,Asphyxiated/Restrained,1,Cause,City
Hayward,California,Gunshot,2,Cause,City
Hemet,California,Gunshot,7,Cause,City
Henderson,Nevada,Gunshot,4,Cause,City
Hesperia,California,Gunshot,2,Cause,City
Hesperia,California,Vehicle,1,Cause,City
Hialeah,Florida,Gunshot,1,Cause,City
Hialeah,Florida,Vehicle,1,Cause,City
Hillsboro,Oregon,Gunshot,2,Cause,City
Hollywood,Florida,Gunshot,2,Cause,City
Homestead,Florida,Gunshot,5,Cause,City
Homestead,Florida,Vehicle,1,Cause,City
Hoover,Alabama,Gunshot,1,Cause,City
Houston,Texas,Gunshot,62,Cause,City
Houston,Texas,Medical emergency,5,Cause,City
Houston,Texas,Tasered,1,Cause,City
Houston,Texas,Vehicle,16,Cause,City
Huntington Beach,California,Gunshot,3,Cause,City
Huntsville,Alabama,Gunshot,8,Cause,City
Huntsville,Alabama,Vehicle,6,Cause,City
Independence,Missouri,Gunshot,2,Cause,City
Indio,California,Gunshot,3,Cause,City
Inglewood,California,Gunshot,3,Cause,City
Irvine,California,Gunshot,1,Cause,City
Irving,Texas,Gunshot,6,Cause,City
Jackson,Mississippi,Gunshot,5,Cause,City
Jackson,Mississippi,Vehicle,5,Cause,City
Jackson,Tennessee,Gunshot,2,Cause,City
Jacksonville,Florida,Asphyxiated/Restrained,1,Cause,City
Jacksonville,Florida,Gunshot,23,Cause,City
Jacksonville,Florida,Vehicle,2,Cause,City
Jersey City,New Jersey,Vehicle,1,Cause,City
Johns Creek,Georgia,Gunshot,1,Cause,City
Johnson City,Tennessee,Gunshot,3,Cause,City
Joliet,Illinois,Gunshot,1,Cause,City
Jonesboro,Arkansas,Gunshot,1,Cause,City
Jurupa Valley,California,Gunshot,2,Cause,City
Kalamazoo,Michigan,Gunshot,1,Cause,City
Kalamazoo,Michigan,Medical emergency,1,Cause,City
