Name,StateName,Count,Population,Crimes,AnnualCPC,Gini,HSPercent,latitude,longitude,statecrimes,crimediff,lower,higher,hscor,ginicor
hoover,alabama,9,79892.77778,28,0.389,0.438,0.7201,33.387932,-86.806122,0.287,-0.103,FALSE,FALSE,,
anchorage,alaska,10,292943.1,64,0.219,0.418,0.6855,61.218056,-149.900284,0.218,0.000,FALSE,FALSE,-0.728,
gilbert,arizona,9,221916.3333,27,0.135,0.367,0.6330,33.33073,-111.790337,0.474,0.339,TRUE,FALSE,,-0.745
glendale,arizona,20,220029.95,110,0.250,0.467,0.6441,34.1425078,-118.255075,0.474,0.224,TRUE,FALSE,,
mesa,arizona,10,458803.2,63,0.137,0.434,0.6514,33.4151843,-111.8314724,0.474,0.337,TRUE,FALSE,,
phoenix,arizona,10,1531935.8,1264,0.825,0.474,0.5717,33.4483771,-112.0740373,0.474,-0.351,FALSE,TRUE,,0.817
tempe,arizona,9,170561.2222,35,0.228,0.469,0.7520,33.4255104,-111.9400054,0.474,0.246,TRUE,FALSE,,
yuma,arizona,10,92199.2,44,0.477,0.433,0.5836,32.6926512,-114.6276916,0.474,-0.003,FALSE,FALSE,,0.820
antioch,california,9,105404.7778,28,0.295,0.411,0.6216,38.0049214,-121.805789,0.320,0.025,FALSE,FALSE,,
bakersfield,california,10,346564.9,48,0.139,0.447,0.5597,35.3732921,-119.0187125,0.320,0.182,FALSE,FALSE,,
berkeley,california,9,112396.2222,59,0.583,0.533,0.8566,37.8715926,-122.272747,0.320,-0.263,FALSE,TRUE,,
burbank,california,10,104782.6,46,0.439,0.438,0.7007,34.1808392,-118.3089661,0.320,-0.119,FALSE,FALSE,,
carson,california,9,93410.44444,20,0.238,0.387,0.6267,33.8316745,-118.281693,0.320,0.082,FALSE,FALSE,,
chico,california,9,84252.66667,37,0.488,0.474,0.7807,39.7284944,-121.8374777,0.320,-0.168,FALSE,FALSE,,
chino,california,9,81757.55556,35,0.476,0.382,0.6016,34.0122346,-117.688944,0.320,-0.155,FALSE,FALSE,,
chula vista,california,10,243054.9,45,0.185,0.413,0.6048,32.6400541,-117.0841955,0.320,0.135,FALSE,FALSE,,
clovis,california,9,97038.55556,28,0.321,0.430,0.6452,36.8252277,-119.7029194,0.320,0.000,FALSE,FALSE,,
compton,california,9,97013.22222,23,0.263,0.409,0.4236,33.8958492,-118.2200712,0.320,0.057,FALSE,FALSE,,-0.745
el monte,california,9,119120.3333,55,0.513,0.427,0.4267,34.0686206,-118.0275667,0.320,-0.193,FALSE,FALSE,,
escondido,california,10,144199.9,51,0.354,0.453,0.5508,33.1192068,-117.086421,0.320,-0.033,FALSE,FALSE,,
fresno,california,10,497208.3,79,0.159,0.479,0.5367,36.7468422,-119.7725868,0.320,0.161,FALSE,FALSE,0.712,
fullerton,california,9,137569.8889,15,0.121,0.459,0.6636,33.8703596,-117.9242966,0.320,0.199,FALSE,FALSE,,-0.785
garden grove,california,10,171771.8,37,0.215,0.422,0.5666,33.7739053,-117.9414477,0.320,0.105,FALSE,FALSE,,
huntington beach,california,10,196726.2,71,0.361,0.440,0.7355,33.660297,-117.9992265,0.320,-0.041,FALSE,FALSE,,
irvine,california,9,226194.1111,35,0.172,0.448,0.7635,33.6839473,-117.7946942,0.320,0.148,FALSE,FALSE,,
lakewood,california,17,110242,52,0.278,0.396,0.6997,41.4819932,-81.7981908,0.320,0.043,FALSE,FALSE,,
lancaster,california,10,153676.7,82,0.534,0.458,0.5812,34.6868,-118.1542,0.320,-0.213,FALSE,TRUE,,
livermore,california,9,82769.77778,34,0.456,0.397,0.6792,37.6818745,-121.7680088,0.320,-0.136,FALSE,FALSE,,
long beach,california,10,471273,111,0.236,0.473,0.5908,33.7700504,-118.1937395,0.320,0.085,FALSE,FALSE,,
los angeles,california,9,3894868.778,1646,0.470,0.418,0.0115,34.0522342,-118.2436849,0.320,-0.149,FALSE,FALSE,,
modesto,california,10,206848.9,63,0.305,0.451,0.5890,37.6390972,-120.9968782,0.320,0.016,FALSE,FALSE,,
moreno valley,california,9,196428,26,0.147,0.394,0.5213,33.9424658,-117.2296717,0.320,0.173,FALSE,FALSE,,
newport beach,california,9,84361.44444,36,0.474,0.541,0.8156,33.6189101,-117.9289469,0.320,-0.154,FALSE,FALSE,,
norwalk,california,20,96168.3,81,0.421,0.432,0.6294,33.9022,-118.0817,0.320,-0.101,FALSE,FALSE,,
oakland,california,10,405984.9,131,0.323,0.512,0.6164,37.8043637,-122.2711137,0.320,-0.002,FALSE,FALSE,,
oceanside,california,10,171790.8,88,0.512,0.426,0.6537,33.1958696,-117.3794834,0.320,-0.192,FALSE,FALSE,,
orange,california,11,119195.6364,26,0.198,0.434,0.7510,33.7877944,-117.8531119,0.320,0.122,FALSE,FALSE,,
oxnard,california,9,198544,41,0.229,0.407,0.4728,34.1975048,-119.1770516,0.320,0.091,FALSE,FALSE,,
palmdale,california,9,150796,69,0.508,0.423,0.5078,34.5794343,-118.1164613,0.320,-0.188,FALSE,FALSE,,
pasadena,california,10,143667.5,62,0.432,0.501,0.6594,34.1478,-118.1445,0.320,-0.111,FALSE,FALSE,,
redding,california,10,91236.1,93,1.019,0.458,0.6982,40.5865396,-122.3916754,0.320,-0.699,FALSE,TRUE,,
redondo beach,california,9,67748.66667,39,0.640,0.420,0.7597,33.8491816,-118.3884078,0.320,-0.319,FALSE,TRUE,,0.710
richmond,california,19,159484.8947,82,0.271,0.492,0.6394,37.9358,-122.3477,0.320,0.050,FALSE,FALSE,,
riverside,california,10,309906.4,161,0.520,0.431,0.5959,33.9533487,-117.3961564,0.320,-0.199,FALSE,FALSE,,
sacramento,california,10,475529.8,158,0.332,0.458,0.6231,38.5815719,-121.4943996,0.320,-0.012,FALSE,FALSE,-0.724,
san bernardino,california,9,208193.8889,28,0.149,0.440,0.4792,34.1083449,-117.2897652,0.320,0.171,FALSE,FALSE,,
san diego,california,10,1330040.4,424,0.319,0.469,0.6900,32.715738,-117.1610838,0.320,0.001,FALSE,FALSE,,
san francisco,california,9,808847.2222,430,0.591,0.514,0.7599,37.7749295,-122.4194155,0.320,-0.270,FALSE,TRUE,,
san jose,california,10,977919.5,223,0.228,0.443,0.6274,37.3382082,-121.8863286,0.320,0.092,FALSE,FALSE,,
san leandro,california,10,84389.4,55,0.652,0.413,0.6812,37.7249296,-122.1560768,0.320,-0.331,FALSE,TRUE,,
san mateo,california,10,97699.9,33,0.338,0.444,0.7159,37.5629917,-122.3255254,0.320,-0.018,FALSE,FALSE,,
santa clarita,california,9,189277,53,0.311,0.395,0.6199,34.3916641,-118.542586,0.320,0.009,FALSE,FALSE,,
santa rosa,california,9,165209,20,0.135,0.438,0.6602,38.440429,-122.7140548,0.320,0.186,FALSE,FALSE,,
south gate,california,9,96519.11111,14,0.161,0.396,0.4001,33.954737,-118.2120161,0.320,0.159,FALSE,FALSE,,
stockton,california,10,297859.4,39,0.131,0.458,0.5249,37.9577016,-121.2907796,0.320,0.189,FALSE,FALSE,-0.889,
torrance,california,9,146002.7778,21,0.160,0.429,0.7337,33.8358492,-118.3406288,0.320,0.160,FALSE,FALSE,,
turlock,california,10,70323.5,20,0.284,0.441,0.6010,37.4946568,-120.8465941,0.320,0.036,FALSE,FALSE,,
union city,california,15,69271.26667,45,0.433,0.414,0.6025,37.5934,-122.0438,0.320,-0.113,FALSE,FALSE,,
ventura,california,10,107157.1,31,0.289,0.425,0.6952,34.280491,-119.294518,0.320,0.031,FALSE,FALSE,-0.762,
visalia,california,9,123725.1111,25,0.225,0.440,0.5760,36.3302284,-119.2920585,0.320,0.096,FALSE,FALSE,,
vista,california,9,94359.44444,28,0.330,0.420,0.5899,33.2000368,-117.2425355,0.320,-0.009,FALSE,FALSE,,
west covina,california,10,107836.4,34,0.315,0.392,0.6251,34.0686208,-117.9389526,0.320,0.005,FALSE,FALSE,,
aurora,colorado,20,261654.75,109,0.208,0.422,0.5886,39.7294319,-104.8319195,0.323,0.115,FALSE,FALSE,,
centennial,colorado,10,103422.5,50,0.484,0.393,0.7419,39.5807452,-104.8771726,0.323,-0.160,FALSE,FALSE,,
colorado springs,colorado,10,418075.5,111,0.266,0.443,0.7107,38.8338816,-104.8213634,0.323,0.058,FALSE,FALSE,,
denver,colorado,10,627695.2,269,0.429,0.507,0.6682,39.7392358,-104.990251,0.323,-0.105,FALSE,FALSE,,
fort collins,colorado,9,145495,42,0.321,0.468,0.7887,40.5852602,-105.084423,0.323,0.003,FALSE,FALSE,,
bridgeport,connecticut,10,143350,60,0.419,0.470,0.5609,41.1865478,-73.1951767,0.451,0.033,FALSE,FALSE,,
new haven,connecticut,9,128397.4444,76,0.658,0.506,0.6450,41.308274,-72.9278835,0.451,-0.206,FALSE,TRUE,,
wilmington,delaware,13,88243.07692,49,0.427,0.526,0.6652,34.2257255,-77.9447102,0.362,-0.065,FALSE,FALSE,,-0.804
washington,district of columbia,9,623727.1111,528,0.941,0.537,0.7266,38.9071923,-77.0368707,0.941,0.000,FALSE,FALSE,,
gainesville,florida,10,121697.5,60,0.493,0.531,0.8247,29.6516344,-82.3248262,0.195,-0.298,FALSE,TRUE,,
jacksonville,florida,9,485762.4444,21,0.048,0.431,0.6709,30.3321838,-81.655651,0.195,0.147,FALSE,FALSE,0.900,0.819
palm bay,florida,10,103437.5,18,0.174,0.404,0.6753,28.0344621,-80.5886646,0.195,0.021,FALSE,FALSE,,
atlanta,georgia,9,480087.4444,67,0.155,0.575,0.6808,33.7489954,-84.3879824,0.155,0.000,FALSE,FALSE,,
boise,idaho,10,209668.5,91,0.434,0.463,0.7278,43.615021,-116.202316,0.422,-0.012,FALSE,FALSE,,
nampa,idaho,10,84071,33,0.393,0.380,0.5757,43.5407172,-116.5634624,0.422,0.030,FALSE,FALSE,,
bloomington,illinois,18,78270.44444,129,0.916,0.499,0.7902,40.4842027,-88.9936873,0.167,-0.748,FALSE,TRUE,,
chicago,illinois,10,2765580.1,320,0.116,0.520,0.6226,41.8781136,-87.6297982,0.167,0.051,FALSE,FALSE,,
rockford,illinois,10,152385.3,59,0.387,0.482,0.6001,42.2711311,-89.0939952,0.167,-0.220,FALSE,TRUE,,
springfield,illinois,29,142550.1034,187,0.452,0.472,0.6612,39.7817,89.6501,0.167,-0.285,FALSE,TRUE,-0.712,
lawrence,kansas,10,87387.5,55,0.629,0.477,0.7436,39.8386516,-86.0252612,0.463,-0.166,FALSE,FALSE,,
wichita,kansas,10,378155.5,183,0.484,0.460,0.6426,37.688889,-97.336111,0.463,-0.021,FALSE,FALSE,,
baltimore,maryland,10,627441.4,46,0.073,0.504,0.6289,39.2903848,-76.6121893,0.073,0.000,FALSE,FALSE,-0.727,
cambridge,massachusetts,9,105648.4444,95,0.999,0.520,0.8295,42.3736158,-71.1097335,1.090,0.091,FALSE,FALSE,,
ann arbor,michigan,10,115273.4,72,0.625,0.501,0.8441,42.2808256,-83.7430378,0.532,-0.093,FALSE,FALSE,,
dearborn,michigan,10,93200.8,125,1.341,0.459,0.5982,42.3222599,-83.1763145,0.532,-0.809,FALSE,TRUE,,
detroit,michigan,10,769847.9,209,0.272,0.495,0.5478,42.331427,-83.0457538,0.532,0.260,TRUE,FALSE,,
grand rapids,michigan,10,192459,102,0.530,0.451,0.6350,42.9633599,-85.6680863,0.532,0.002,FALSE,FALSE,,
lansing,michigan,9,114214.5556,52,0.506,0.435,0.6577,42.732535,-84.5555347,0.532,0.026,FALSE,FALSE,,
livonia,michigan,9,94548.11111,42,0.494,0.376,0.7433,42.36837,-83.3527097,0.532,0.038,FALSE,FALSE,,
rochester,michigan,24,125059.8333,113,0.377,0.457,1.5977,42.6806,-83.1338,0.532,0.155,FALSE,FALSE,,
southfield,michigan,9,73667.66667,51,0.769,0.433,0.7276,42.4733688,-83.2218731,0.532,-0.237,FALSE,TRUE,,
troy,michigan,10,81813.9,43,0.526,0.419,0.7267,42.6064095,-83.1497751,0.532,0.006,FALSE,FALSE,,
warren,michigan,9,134244.8889,110,0.910,0.410,0.6460,42.5144566,-83.0146526,0.532,-0.379,FALSE,TRUE,,
westland,michigan,9,82157.77778,32,0.433,0.412,0.7014,42.324204,-83.400211,0.532,0.099,FALSE,FALSE,,-0.846
brooklyn park,minnesota,10,75397.7,59,0.783,0.403,0.6376,45.0941315,-93.3563405,0.684,-0.099,FALSE,FALSE,,
minneapolis,minnesota,9,393373.8889,324,0.915,0.506,0.7109,44.977753,-93.2650108,0.684,-0.231,FALSE,TRUE,,
plymouth,minnesota,9,73224.66667,38,0.577,0.449,0.7329,45.0105194,-93.4555093,0.684,0.107,FALSE,FALSE,,
st. cloud,minnesota,9,66672.33333,59,0.983,0.455,0.7334,45.5579451,-94.1632404,0.684,-0.299,FALSE,TRUE,,
st. paul,minnesota,10,288158,146,0.507,0.476,0.6447,44.9537029,-93.0899578,0.684,0.177,FALSE,FALSE,,
columbia,missouri,14,120699.6429,56,0.331,0.517,0.7616,34.0007104,-81.0348144,0.534,0.202,TRUE,FALSE,,
independence,missouri,9,116084.4444,48,0.459,0.424,0.6723,39.0911161,-94.4155068,0.534,0.074,FALSE,FALSE,,-0.728
lee's summit,missouri,9,89332.22222,33,0.411,0.395,0.7142,38.9108408,-94.3821724,0.534,0.123,FALSE,FALSE,,
st. louis,missouri,10,331429.1,94,0.284,0.499,0.6444,38.6270025,-90.1994042,0.534,0.250,TRUE,FALSE,,
billings,montana,10,106320.1,48,0.452,0.448,0.7029,45.7832856,-108.5006904,0.451,0.000,FALSE,FALSE,,
north las vegas,nevada,9,223357.5556,38,0.189,0.387,0.5400,36.1988592,-115.1175013,0.161,-0.028,FALSE,FALSE,,
jersey city,new jersey,9,251439.2222,79,0.349,0.497,0.6665,40.7281575,-74.0776417,0.243,-0.106,FALSE,FALSE,,
passaic,new jersey,9,69400.77778,28,0.448,0.488,0.4507,40.8567662,-74.1284764,0.243,-0.206,FALSE,TRUE,,
albuquerque,new mexico,9,541912.5556,124,0.254,0.463,0.6691,35.0853336,-106.6055534,0.254,0.000,FALSE,FALSE,,
new rochelle,new york,9,77283.22222,32,0.460,0.527,0.6649,40.9114882,-73.7823549,0.369,-0.091,FALSE,FALSE,,
new york,new york,10,8355540.6,3032,0.363,0.542,0.6297,40.7128,-74.006,0.369,0.006,FALSE,FALSE,,
yonkers,new york,9,199418.7778,50,0.279,0.470,0.6406,40.9312099,-73.8987469,0.369,0.090,FALSE,FALSE,,
asheville,north carolina,9,83097.44444,54,0.722,0.476,0.7594,35.5950581,-82.5514869,0.285,-0.437,FALSE,TRUE,,
durham,north carolina,9,234184.4444,41,0.195,0.476,0.6704,35.9940329,-78.898619,0.285,0.091,FALSE,FALSE,,
high point,north carolina,9,105110.6667,23,0.243,0.465,0.6266,35.9556923,-80.0053176,0.285,0.042,FALSE,FALSE,,
akron,ohio,10,202114.4,89,0.440,0.470,0.6554,41.0814447,-81.5190053,0.604,0.164,FALSE,FALSE,,
cincinnati,ohio,10,309134.9,192,0.621,0.543,0.6487,39.1031182,-84.5120196,0.604,-0.017,FALSE,FALSE,,
cleveland,ohio,10,409501.2,92,0.225,0.496,0.5709,41.49932,-81.6943605,0.604,0.380,TRUE,FALSE,,
dayton,ohio,10,147022.7,52,0.354,0.479,0.6239,39.7589478,-84.1916069,0.604,0.251,TRUE,FALSE,,
parma,ohio,9,79607.11111,14,0.195,0.376,0.7172,41.4047742,-81.7229086,0.604,0.409,TRUE,FALSE,,
norman,oklahoma,9,112981.7778,34,0.334,0.481,0.7584,35.2225668,-97.4394777,0.161,-0.173,FALSE,FALSE,,
salem,oregon,10,157905.1,71,0.450,0.435,0.6542,44.9428975,-123.0350963,0.591,0.141,FALSE,FALSE,,
philadelphia,pennsylvania,10,1522028.5,171,0.112,0.504,0.6347,39.9525839,-75.1652215,0.152,0.040,FALSE,FALSE,,
pittsburgh,pennsylvania,10,310455.6,105,0.338,0.520,0.7457,40.4406248,-79.9958864,0.152,-0.186,FALSE,FALSE,,
reading,pennsylvania,9,85734.44444,15,0.194,0.443,0.4656,40.3356483,-75.9268747,0.152,-0.042,FALSE,FALSE,,
pawtucket,rhode island,9,71757.88889,21,0.325,0.442,0.6015,41.878711,-71.3825558,0.401,0.075,FALSE,FALSE,,
providence,rhode island,9,176483.3333,86,0.541,0.545,0.5984,41.8239891,-71.4128343,0.401,-0.141,FALSE,FALSE,,
sioux falls,south dakota,9,157747.3333,138,0.972,0.439,0.6935,43.5445959,-96.7311034,0.972,0.000,FALSE,FALSE,,
chattanooga,tennessee,10,169607.7,75,0.442,0.498,0.6677,35.0456297,-85.3096801,0.469,0.026,FALSE,FALSE,,
clarksville,tennessee,10,134139.7,73,0.544,0.406,0.6742,36.5297706,-87.3594528,0.469,-0.076,FALSE,FALSE,,
knoxville,tennessee,9,183652.5556,70,0.424,0.494,0.7156,35.9606384,-83.9207392,0.469,0.045,FALSE,FALSE,,
memphis,tennessee,10,663293.2,327,0.493,0.509,0.6064,35.1495343,-90.0489801,0.469,-0.024,FALSE,FALSE,,
austin,texas,9,826915.5556,83,0.112,0.485,0.6894,30.267153,-97.7430608,0.130,0.018,FALSE,FALSE,,
dallas,texas,9,1271518.222,152,0.133,0.539,0.5376,32.7766642,-96.7969879,0.130,-0.003,FALSE,FALSE,,
denton,texas,9,121311.7778,17,0.156,0.468,0.7118,33.2148412,-97.1330683,0.130,-0.026,FALSE,FALSE,,
el paso,texas,9,651589,24,0.041,0.470,0.5558,31.7775757,-106.4424559,0.130,0.089,FALSE,FALSE,,
fort worth,texas,10,756264.9,140,0.185,0.458,0.5726,32.7554883,-97.3307658,0.130,-0.055,FALSE,FALSE,,
houston,texas,9,2212973.667,163,0.082,0.524,0.5551,29.7604267,-95.3698028,0.130,0.048,FALSE,FALSE,,
longview,texas,10,80245.4,42,0.523,0.463,0.6182,32.5007037,-94.7404891,0.130,-0.393,FALSE,TRUE,,
plano,texas,9,271896.3333,28,0.114,0.442,0.6899,33.0198431,-96.6988856,0.130,0.016,FALSE,FALSE,,
san antonio,texas,9,1388688.556,106,0.085,0.463,0.5917,29.4241219,-98.4936282,0.130,0.045,FALSE,FALSE,,
salt lake city,utah,9,187916.6667,19,0.112,0.504,0.6804,40.7607793,-111.8910474,0.200,0.088,FALSE,FALSE,,
st. george,utah,9,74729.33333,16,0.238,0.423,0.6653,37.0965278,-113.5684164,0.200,-0.038,FALSE,FALSE,,
west valley,utah,10,129262.5,51,0.395,0.371,0.5400,40.68849,-111.95799,0.200,-0.194,FALSE,FALSE,,
chesapeake,virginia,10,227798.6,73,0.321,0.399,0.6729,36.7682088,-76.2874927,0.336,0.016,FALSE,FALSE,,
hampton,virginia,9,140718.2222,31,0.245,0.410,0.6917,37.0298687,-76.3452218,0.336,0.091,FALSE,FALSE,,
newport news,virginia,10,182534.3,72,0.394,0.428,0.6741,37.0870821,-76.4730122,0.336,-0.058,FALSE,FALSE,,
norfolk,virginia,10,240785.8,109,0.453,0.474,0.6856,36.8507689,-76.2858726,0.336,-0.117,FALSE,FALSE,,
portsmouth,virginia,9,98498.88889,39,0.440,0.417,0.6254,36.8354258,-76.2982742,0.336,-0.104,FALSE,FALSE,,-0.747
virginia beach,virginia,10,444718,140,0.315,0.408,0.7058,36.8529263,-75.977985,0.336,0.021,FALSE,FALSE,-0.855,-0.857
bellingham,washington,9,81807.11111,54,0.733,0.470,0.7925,48.74908,-122.4781473,0.660,-0.073,FALSE,FALSE,,
everett,washington,10,103266.2,33,0.320,0.434,0.6840,47.9789848,-122.2020794,0.660,0.341,TRUE,FALSE,,
federal way,washington,10,89867.9,41,0.456,0.420,0.6728,47.3223221,-122.3126222,0.660,0.204,TRUE,FALSE,,
seattle,washington,10,632247.3,546,0.864,0.488,0.7930,47.6062095,-122.3320708,0.660,-0.203,FALSE,TRUE,,
spokane valley,washington,9,89431.22222,43,0.534,0.405,0.7055,47.6732281,-117.2393748,0.660,0.126,FALSE,FALSE,,
tacoma,washington,10,202152.1,133,0.658,0.444,0.6717,47.2528768,-122.4442906,0.660,0.002,FALSE,FALSE,,
vancouver,washington,10,166404.4,95,0.571,0.428,0.6799,45.6387281,-122.6614861,0.660,0.089,FALSE,FALSE,,
yakima,washington,10,89546.9,41,0.458,0.458,0.5360,46.6020711,-120.5058987,0.660,0.202,TRUE,FALSE,,
appleton,wisconsin,10,72369.5,27,0.373,0.434,0.6861,44.2619309,-88.4153847,0.333,-0.040,FALSE,FALSE,,
madison,wisconsin,10,237820.2,105,0.442,0.460,0.7844,34.6992579,-86.7483318,0.333,-0.108,FALSE,FALSE,,
milwaukee,wisconsin,10,596058.8,192,0.322,0.460,0.5983,43.0389025,-87.9064736,0.333,0.011,FALSE,FALSE,-0.893,-0.830
