Name,StateName,statediffwriteup,corwriteup,hategroupswriteup
hoover,alabama,hoover has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. hoover,The most common hate group type in hoover is Black Nationalist
anchorage,alaska,anchorage has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. anchorage,The most common hate group type in anchorage is General Hate
gilbert,arizona,gilbert has a 0.338813158 lower crime per capita than the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. gilbert,The most common hate group type in gilbert is White Nationalist
glendale,arizona,glendale has a 0.224013158 lower crime per capita than the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. glendale,The most common hate group type in glendale is White Nationalist
mesa,arizona,mesa has a 0.336713158 lower crime per capita than the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. mesa,The most common hate group type in mesa is White Nationalist
phoenix,arizona,phoenix has a 0.351086842 higher crime per capita than the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. phoenix,The most common hate group type in phoenix is White Nationalist
tempe,arizona,tempe has a 0.246013158 lower crime per capita than the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. tempe,The most common hate group type in tempe is White Nationalist
yuma,arizona,yuma has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. yuma,The most common hate group type in yuma is White Nationalist
antioch,california,antioch has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. antioch,The most common hate group type in antioch is Black Nationalist
bakersfield,california,bakersfield has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. bakersfield,The most common hate group type in bakersfield is Black Nationalist
berkeley,california,berkeley has a 0.263078716 higher crime per capita than the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. berkeley,The most common hate group type in berkeley is Black Nationalist
burbank,california,burbank has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. burbank,The most common hate group type in burbank is Black Nationalist
carson,california,carson has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. carson,The most common hate group type in carson is Black Nationalist
chico,california,chico has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. chico,The most common hate group type in chico is Black Nationalist
chino,california,chino has a similar crime per capita rate as the state average.,There is a -0.82973309796653 correlation between crime rates and income inequality in. chino,The most common hate group type in chino is Black Nationalist
