cities,City,State,ginicor,hscor,articleplugin,Population,Gini,HSGrad,CrimesPerYear,CrimePerCapita,Latitude,Longitude,mostCommon
"hoover, alabama",Hoover,Alabama,-0.364,0.539,Neither,79690,0.44,0.952,3.45,0.433,33.3761,-86.8065,Race
"anchorage, alaska",Anchorage,Alaska,0.177,-0.548,Neither,292410,0.417,0.92,6,0.205,61.1508,-149.1091,Race
"avondale, arizona",Avondale,Arizona,-0.031,0.028,Neither,82125,0.38,0.792,2.5,0.304,33.3858,-112.3236,Race
"chandler, arizona",Chandler,Arizona,0.621,-0.508,Gini,252108,0.404,0.916,2.63,0.104,33.2828,-111.8517,Race
"gilbert, arizona",Gilbert,Arizona,0.662,-0.204,Gini,223934,0.37,0.95,3,0.134,33.3103,-111.7463,Race
"glendale, arizona",Glendale,Arizona,0.536,0.024,Neither,243538,0.445,0.824,8,0.328,33.5797,-112.2246,Race
"mesa, arizona",Mesa,Arizona,0.382,-0.428,Neither,462594,0.434,0.859,6.33,0.137,33.4016,-111.718,Race
"scottsdale, arizona",Scottsdale,Arizona,0.578,-0.538,Neither,233386,0.509,0.955,6.1,0.261,33.6872,-111.865,Race
"tucson, arizona",Tucson,Arizona,0.057,-0.138,Neither,531925,0.455,0.842,10.5,0.197,32.1558,-110.8777,Race
"yuma, arizona",Yuma,Arizona,-0.802,0.125,Gini,92501,0.433,0.779,4.27,0.462,32.599,-114.5489,Race
"fayetteville, arkansas",Fayetteville,Arkansas,0,0,Neither,76043,0.493,0.923,1.33,0.175,36.0713,-94.166,Race
"fort smith, arkansas",Fort Smith,Arkansas,-0.15,0.451,Neither,86521,0.496,0.795,2.5,0.289,35.3494,-94.3695,Race
"alameda, california",Alameda,California,-0.037,-0.613,HS,74877,0.442,0.901,2.78,0.371,37.767,-122.2673,Race
"alhambra, california",Alhambra,California,0.524,-0.726,HS,85518,0.454,0.811,1.88,0.219,34.084,-118.1355,Race
"anaheim, california",Anaheim,California,0.144,-0.115,Neither,341087,0.428,0.745,2.67,0.078,33.839,-117.8572,Race
"antioch, california",Antioch,California,0.246,0.516,Neither,105649,0.413,0.855,2.82,0.267,37.9789,-121.7958,Race
"apple valley, california",Apple Valley,California,0,0,Neither,71773,0.466,0.865,1.75,0.244,34.5329,-117.2102,Race
"bakersfield, california",Bakersfield,California,-0.131,0.415,Neither,348142,0.445,0.795,4.75,0.136,35.3528,-119.0354,Race
"bellflower, california",Bellflower,California,0.629,0.024,Gini,76575,0.408,0.766,1.63,0.212,33.888,-118.1271,Race
"berkeley, california",Berkeley,California,0.118,0.296,Neither,112313,0.527,0.957,7.55,0.672,37.8723,-122.276,Race
"buena park, california",Buena Park,California,0.036,-0.377,Neither,82022,0.405,0.811,1.63,0.198,33.8572,-118.0046,Race
"burbank, california",Burbank,California,0.149,-0.3,Neither,104641,0.44,0.888,4.67,0.446,34.188,-118.3234,Race
"camarillo, california",Camarillo,California,0.823,0.112,Gini,66576,0.426,0.918,3.33,0.509,34.223,-119.0325,Race
"carson, california",Carson,California,0.465,-0.418,Neither,93302,0.385,0.802,2.09,0.224,33.8374,-118.2559,Race
"chico, california",Chico,California,0.252,-0.606,HS,85042,0.473,0.926,3.55,0.417,39.7568,-121.816,Race
"chino, california",Chino,California,0.087,-0.421,Neither,82524,0.385,0.774,4.1,0.497,33.9836,-117.6653,Race
"citrus heights, california",Citrus Heights,California,0.099,0.536,Neither,85791,0.388,0.895,1.5,0.175,38.6948,-121.288,Race
"concord, california",Concord,California,-0.229,0.13,Neither,125236,0.412,0.865,4.1,0.327,37.9722,-122.0016,Race
"corona, california",Corona,California,0.399,-0.864,HS,156002,0.394,0.834,3,0.192,33.8623,-117.5642,Race
"costa mesa, california",Costa Mesa,California,0,0,Neither,111050,0.445,0.858,2.43,0.219,33.6667,-117.9135,Race
"daly city, california",Daly City,California,-0.552,-0.445,Neither,103171,0.382,0.866,1.78,0.172,37.6863,-122.4684,Race
"davis, california",Davis,California,0.713,-0.287,Gini,66558,0.531,0.967,6.75,1.037,38.5552,-121.7365,Race
"el cajon, california",El Cajon,California,-0.312,0.814,HS,97928,0.443,0.808,1.88,0.191,32.8017,-116.9604,Race
"elk grove, california",Elk Grove,California,0.605,-0.309,Gini,155295,0.389,0.898,2.75,0.177,38.416,-121.3841,Race
"el monte, california",El Monte,California,0.206,-0.078,Neither,119153,0.422,0.582,5.64,0.473,34.0739,-118.0291,Race
"escondido, california",Escondido,California,-0.617,-0.479,Gini,144356,0.449,0.748,5,0.346,33.1349,-117.0721,Race
"fairfield, california",Fairfield,California,-0.245,0.098,Neither,109287,0.418,0.854,2,0.183,38.2593,-122.0319,Race
"fontana, california",Fontana,California,0,0,Neither,193890,0.391,0.744,1.43,0.074,34.0967,-117.4599,Race
"fremont, california",Fremont,California,-0.341,-0.27,Neither,217654,0.392,0.92,2,0.092,37.5256,-121.987,Race
"fresno, california",Fresno,California,-0.396,0.671,HS,498319,0.479,0.757,8.08,0.162,36.7834,-119.7933,Race
"garden grove, california",Garden Grove,California,0.366,-0.401,Neither,171585,0.421,0.737,4.17,0.243,33.7787,-117.9601,Race
"hayward, california",Hayward,California,0,0,Neither,153896,0.422,0.815,2.86,0.186,37.6327,-122.0776,Race
"hesperia, california",Hesperia,California,0.198,-0.177,Neither,90750,0.415,0.77,1.88,0.207,34.3974,-117.3144,Race
"huntington beach, california",Huntington Beach,California,0.58,0.098,Neither,196868,0.441,0.925,6.42,0.326,33.696,-118.0023,Race
"indio, california",Indio,California,0,0,Neither,89089,0.446,0.745,1.75,0.196,33.7346,-116.2347,Orientation
"inglewood, california",Inglewood,California,0,0,Neither,112614,0.43,0.732,1.67,0.148,33.9566,-118.3444,Race
"irvine, california",Irvine,California,0.278,0.312,Neither,229776,0.445,0.962,3.82,0.166,33.6772,-117.7738,Race
"lakewood, california",Lakewood,California,-0.217,0.322,Neither,80473,0.362,0.886,3.45,0.429,33.8471,-118.1222,Race
"lancaster, california",Lancaster,California,0.591,-0.196,Neither,153847,0.455,0.808,8.25,0.536,34.6934,-118.1753,Race
"livermore, california",Livermore,California,0.159,0.133,Neither,83303,0.399,0.911,3.36,0.404,37.6863,-121.7607,Race
"long beach, california",Long Beach,California,-0.052,-0.444,Neither,470675,0.473,0.794,11.42,0.243,33.8059,-118.161,Race
"los angeles, california",Los Angeles,California,-0.082,-0.375,Neither,3900886,0.527,0.754,189.73,0.486,34.114,-118.4068,Race
"manteca, california",Manteca,California,0,0,Neither,72762,0.391,0.83,2.56,0.36,37.7938,-121.2271,Race
"merced, california",Merced,California,0,0,Neither,81460,0.483,0.74,1.17,0.143,37.3057,-120.4779,Orientation
"modesto, california",Modesto,California,0.298,-0.115,Neither,207220,0.448,0.809,6.17,0.298,37.6371,-121.003,Race
"moreno valley, california",Moreno Valley,California,0.323,-0.289,Neither,197489,0.392,0.749,3.09,0.157,33.9244,-117.2045,Race
"newport beach, california",Newport Beach,California,-0.309,0.162,Neither,84189,0.543,0.976,3.82,0.454,33.6151,-117.8669,Race
"norwalk, california",Norwalk,California,0.227,-0.329,Neither,105783,0.374,0.744,3.92,0.37,33.9069,-118.0829,Race
"oakland, california",Oakland,California,0.059,0.049,Neither,407443,0.51,0.795,13.92,0.342,37.7903,-122.2165,Race
"oceanside, california",Oceanside,California,0.284,-0.41,Neither,172109,0.423,0.851,8.42,0.489,33.2247,-117.3083,Race
"ontario, california",Ontario,California,0.278,0.364,Neither,171527,0.38,0.719,2.3,0.134,34.0393,-117.6064,Race
"orange, california",Orange,California,0.427,-0.63,HS,138754,0.433,0.836,2.73,0.197,33.8038,-117.8219,Race
"oxnard, california",Oxnard,California,0.331,0.044,Neither,198524,0.41,0.66,4.73,0.238,34.1961,-119.1821,Race
"palmdale, california",Palmdale,California,0.582,-0.088,Neither,151058,0.423,0.742,7.45,0.493,34.5945,-118.1058,Race
"palo alto, california",Palo Alto,California,0,0,Neither,66804,0.507,0.975,3.42,0.539,37.3917,-122.1465,Race
