State,City,Type,CrimeType,NumCrimes
Alabama,Birmingham,City,Race,5.0
Alabama,Hoover,City,Race,2.5
Alabama,Mobile,City,Race,0.0
Alabama,Montgomery,City,Race,1.0
Alabama,Tuscaloosa,City,Race,1.3
Alabama,,State,Race,12.3
Alaska,Anchorage,City,Race,4.6
Alaska,,State,Race,5.5
Alaska, ,State,Race,8.0
Arizona,Avondale,City,Race,2.1
Arizona,Chandler,City,Race,2.0
Arizona,Flagstaff,City,Race,0.3
Arizona,Gilbert,City,Race,2.1
Arizona,Glendale,City,Race,5.3
Arizona,Goodyear,City,Race,0.5
Arizona,Mesa,City,Race,4.2
Arizona,Peoria,City,Race,1.8
Arizona,Phoenix,City,Race,75.6
Arizona,Scottsdale,City,Race,3.3
Arizona,Surprise,City,Race,0.5
Arizona,Tempe,City,Race,2.1
Arizona,Tucson,City,Race,3.6
Arizona,Yuma,City,Race,2.6
Arizona,,State,Race,125.0
Arizona, ,State,Race,110.0
Arkansas,Fayetteville,City,Race,0.7
Arkansas,Fort Smith,City,Race,1.5
Arkansas,Jonesboro,City,Race,1.3
Arkansas,Little Rock,City,Race,0.5
Arkansas,North Little Rock,City,Race,1.0
Arkansas,Springdale,City,Race,2.0
Arkansas,,State,Race,29.3
California,Alameda,City,Race,1.7
California,Alhambra,City,Race,1.6
California,Anaheim,City,Race,1.2
California,Antioch,City,Race,2.1
California,Apple Valley,City,Race,1.5
California,Bakersfield,City,Race,3.1
California,Baldwin Park,City,Race,0.8
California,Bellflower,City,Race,1.0
California,Berkeley,City,Race,4.0
California,Buena Park,City,Race,1.1
California,Burbank,City,Race,2.2
California,Camarillo,City,Race,1.1
California,Carlsbad,City,Race,1.5
California,Carson,City,Race,1.8
California,Chico,City,Race,2.2
California,Chino,City,Race,2.6
California,Chino Hills,City,Race,0.8
California,Chula Vista,City,Race,2.4
California,Citrus Heights,City,Race,0.9
California,Clovis,City,Race,1.8
California,Compton,City,Race,2.2
California,Concord,City,Race,1.8
California,Corona,City,Race,2.0
California,Costa Mesa,City,Race,1.1
California,Daly City,City,Race,0.8
California,Davis,City,Race,3.4
California,Downey,City,Race,1.7
California,El Cajon,City,Race,1.3
California,El Monte,City,Race,4.7
California,Elk Grove,City,Race,2.1
California,Escondido,City,Race,4.5
California,Fairfield,City,Race,1.2
California,Folsom,City,Race,1.8
California,Fontana,City,Race,0.9
California,Fremont,City,Race,1.1
California,Fresno,City,Race,4.9
California,Fullerton,City,Race,1.6
California,Garden Grove,City,Race,3.2
California,Glendale,City,Race,1.9
California,Hawthorne,City,Race,1.4
California,Hayward,City,Race,1.6
California,Hemet,City,Race,3.5
California,Hesperia,City,Race,1.4
California,Huntington Beach,City,Race,3.9
California,Indio,City,Race,0.8
California,Inglewood,City,Race,1.0
California,Irvine,City,Race,2.6
California,Jurupa Valley,City,Race,0.7
California,Laguna Niguel,City,Race,0.0
California,Lake Elsinore,City,Race,0.0
California,Lake Forest,City,Race,1.4
California,Lakewood,City,Race,3.0
California,Lancaster,City,Race,6.0
California,Livermore,City,Race,1.7
California,Lodi,City,Race,1.0
California,Long Beach,City,Race,5.3
California,Los Angeles,City,Race,100.0
California,Lynwood,City,Race,1.2
California,Manteca,City,Race,1.4
California,Menifee,City,Race,1.0
California,Merced,City,Race,0.5
California,Milpitas,City,Race,0.7
California,Mission Viejo,City,Race,2.0
California,Modesto,City,Race,3.8
California,Moreno Valley,City,Race,2.5
California,Mountain View,City,Race,1.0
California,Murrieta,City,Race,0.9
California,Napa,City,Race,1.0
California,Newport Beach,City,Race,1.9
California,Norwalk,City,Race,3.2
California,Oakland,City,Race,6.8
California,Oceanside,City,Race,6.0
California,Ontario,City,Race,1.7
California,Orange,City,Race,1.7
California,Oxnard,City,Race,3.1
California,Palmdale,City,Race,5.5
California,Palo Alto,City,Race,2.1
California,Pasadena,City,Race,4.3
California,Perris,City,Race,0.7
California,Pittsburg,City,Race,0.7
California,Pleasanton,City,Race,1.0
California,Pomona,City,Race,2.9
California,Rancho Cordova,City,Race,1.3
California,Rancho Cucamonga,City,Race,3.0
California,Redding,City,Race,7.7
California,Redlands,City,Race,1.4
California,Redondo Beach,City,Race,3.1
California,Redwood City,City,Race,1.3
California,Rialto,City,Race,1.1
California,Richmond,City,Race,2.5
California,Riverside,City,Race,9.9
California,Roseville,City,Race,2.7
California,Sacramento,City,Race,5.7
California,Salinas,City,Race,0.7
California,San Bernardino,City,Race,2.5
California,San Clemente,City,Race,1.0
California,San Diego,City,Race,19.2
California,San Francisco,City,Race,18.0
California,San Jose,City,Race,13.6
California,San Leandro,City,Race,3.6
California,San Marcos,City,Race,1.4
California,San Mateo,City,Race,1.6
California,San Ramon,City,Race,2.0
California,Santa Ana,City,Race,1.8
California,Santa Barbara,City,Race,1.6
California,Santa Clara,City,Race,0.2
California,Santa Clarita,City,Race,4.6
California,Santa Cruz,City,Race,5.0
California,Santa Maria,City,Race,1.0
California,Santa Monica,City,Race,1.8
California,Santa Rosa,City,Race,0.9
California,Simi Valley,City,Race,1.7
California,South Gate,City,Race,0.8
California,South San Francisco,City,Race,0.5
California,Stockton,City,Race,2.8
California,Sunnyvale,City,Race,0.9
California,Temecula,City,Race,1.5
California,Thousand Oaks,City,Race,1.1
California,Torrance,City,Race,2.0
California,Tracy,City,Race,1.9
California,Turlock,City,Race,1.6
California,Tustin,City,Race,1.2
California,Union City,City,Race,2.4
California,Upland,City,Race,1.5
California,Vacaville,City,Race,2.3
California,Vallejo,City,Race,2.4
California,Victorville,City,Race,2.0
California,Visalia,City,Race,1.6
California,Vista,City,Race,2.2
California,Walnut Creek,City,Race,1.7
California,West Covina,City,Race,2.3
California,Westminster,City,Race,2.6
California,Whittier,City,Race,1.4
California,Yorba Linda,City,Race,0.3
California,Yuba City,City,Race,1.0
California,,State,Race,598.1
California, ,State,Race,530.0
Colorado,Arvada,City,Race,1.3
Colorado,Aurora,City,Race,5.1
Colorado,Boulder,City,Race,2.4
Colorado,Broomfield,City,Race,1.0
Colorado,Centennial,City,Race,2.8
Colorado,Colorado Springs,City,Race,6.7
Colorado,Denver,City,Race,15.2
Colorado,Fort Collins,City,Race,3.6
Colorado,Greeley,City,Race,3.2
Colorado,Lakewood,City,Race,1.9
Colorado,Longmont,City,Race,3.0
Colorado,Loveland,City,Race,1.6
Colorado,Pueblo,City,Race,2.9
Colorado,Thornton,City,Race,1.0
Colorado,Westminster,City,Race,0.8
Colorado,,State,Race,89.0
Connecticut,Bridgeport,City,Race,4.2
Connecticut,Danbury,City,Race,2.1
Connecticut,Hartford,City,Race,2.8
Connecticut,New Britain,City,Race,0.7
Connecticut,New Haven,City,Race,5.6
Connecticut,Norwalk,City,Race,3.0
Connecticut,Stamford,City,Race,3.0
Connecticut,Waterbury,City,Race,3.5
Connecticut,,State,Race,81.8
Delaware,Wilmington,City,Race,1.5
Delaware,,State,Race,17.4
District Of Columbia,Washington,City,Race,22.8
District Of Columbia,,State,Race,25.8
Florida,Boca Raton,City,Race,0.9
Florida,Boynton Beach,City,Race,0.0
Florida,Cape Coral,City,Race,1.0
Florida,Clearwater,City,Race,2.0
Florida,Coral Springs,City,Race,0.4
Florida,Davie,City,Race,1.6
Florida,Deerfield Beach,City,Race,1.5
Florida,Delray Beach,City,Race,0.5
Florida,Fort Lauderdale,City,Race,1.8
Florida,Fort Myers,City,Race,1.0
Florida,Gainesville,City,Race,3.1
Florida,Hialeah,City,Race,1.0
Florida,Hollywood,City,Race,0.0
Florida,Homestead,City,Race,1.0
Florida,Jacksonville,City,Race,2.6
Florida,Kissimmee,City,Race,1.0
Florida,Lakeland,City,Race,0.7
Florida,Largo,City,Race,0.9
Florida,Melbourne,City,Race,2.3
Florida,Miami Beach,City,Race,1.1
Florida,Miami Gardens,City,Race,1.6
Florida,Miramar,City,Race,1.0
Florida,Orlando,City,Race,2.6
Florida,Palm Bay,City,Race,1.4
Florida,Pembroke Pines,City,Race,0.7
Florida,Plantation,City,Race,1.0
Florida,Pompano Beach,City,Race,1.7
Florida,Port St. Lucie,City,Race,0.8
Florida,St. Petersburg,City,Race,1.8
Florida,Sunrise,City,Race,0.8
Florida,Tallahassee,City,Race,0.5
Florida,Tamarac,City,Race,0.0
Florida,Tampa,City,Race,4.5
Florida,West Palm Beach,City,Race,1.5
Florida,Weston,City,Race,0.6
Florida,,State,Race,72.8
Georgia,Atlanta,City,Race,2.0
Georgia,Columbus,City,Race,2.0
Georgia,Warner Robins,City,Race,1.0
Georgia,,State,Race,16.5
Idaho,Meridian,City,Race,0.5
Idaho,Nampa,City,Race,3.2
Idaho,,State,Race,20.8
Illinois,Arlington Heights,City,Race,0.3
Illinois,Aurora,City,Race,3.7
Illinois,Bloomington,City,Race,1.6
Illinois,Bolingbrook,City,Race,0.0
Illinois,Champaign,City,Race,0.7
Illinois,Chicago,City,Race,15.6
Illinois,Decatur,City,Race,2.1
Illinois,Elgin,City,Race,0.5
Illinois,Evanston,City,Race,1.4
Illinois,Joliet,City,Race,1.0
Illinois,Naperville,City,Race,1.7
Illinois,Palatine,City,Race,0.0
Illinois,Peoria,City,Race,1.7
Illinois,Rockford,City,Race,4.2
Illinois,Schaumburg,City,Race,1.4
Illinois,Skokie,City,Race,1.7
Illinois,Springfield,City,Race,5.7
Illinois,,State,Race,69.8
Indiana,Bloomington,City,Race,9.0
Indiana,Evansville,City,Race,1.0
Indiana,Fishers,City,Race,1.2
Indiana,Fort Wayne,City,Race,2.0
Indiana,Hammond,City,Race,1.2
Indiana,Indianapolis,City,Race,26.8
Indiana,Lafayette,City,Race,8.0
Indiana,Muncie,City,Race,1.7
Indiana,South Bend,City,Race,4.4
Indiana,,State,Race,42.7
Iowa,Ames,City,Race,1.0
Iowa,Cedar Rapids,City,Race,0.6
Iowa,Davenport,City,Race,1.8
Iowa,Des Moines,City,Race,1.4
Iowa,Iowa City,City,Race,1.8
Iowa,Sioux City,City,Race,0.5
Iowa,Waterloo,City,Race,1.0
Iowa,,State,Race,11.3
Kansas,Kansas City,City,Race,1.0
Kansas,Lawrence,City,Race,4.2
Kansas,Overland Park,City,Race,2.3
Kansas,Shawnee,City,Race,1.0
Kansas,Topeka,City,Race,1.3
Kansas,Wichita,City,Race,13.0
Kansas,,State,Race,56.2
Kentucky,Bowling Green,City,Race,12.0
Kentucky,Lexington,City,Race,16.6
Kentucky,,State,Race,117.3
Louisiana,Baton Rouge,City,Race,2.0
Louisiana,Kenner,City,Race,1.0
Louisiana,New Orleans,City,Race,1.3
Louisiana,Shreveport,City,Race,1.0
Louisiana,,State,Race,15.8
Maine,Portland,City,Race,3.0
Maine,,State,Race,24.6
Maryland,Baltimore,City,Race,2.2
Maryland,Frederick,City,Race,1.5
Maryland,,State,Race,47.5
Massachusetts,Boston,City,Race,86.1
Massachusetts,Brockton,City,Race,3.5
Massachusetts,Brookline,City,Race,1.0
Massachusetts,Cambridge,City,Race,6.5
Massachusetts,Fall River,City,Race,1.7
Massachusetts,Framingham,City,Race,1.7
Massachusetts,Lawrence,City,Race,0.7
Massachusetts,Lowell,City,Race,0.3
Massachusetts,Lynn,City,Race,3.2
Massachusetts,New Bedford,City,Race,1.7
Massachusetts,Newton,City,Race,1.2
Massachusetts,Quincy,City,Race,5.9
Massachusetts,Somerville,City,Race,1.8
Massachusetts,Springfield,City,Race,2.8
Massachusetts,Worcester,City,Race,2.4
Massachusetts,,State,Race,187.2
Michigan,Ann Arbor,City,Race,3.5
Michigan,Dearborn,City,Race,7.1
Michigan,Detroit,City,Race,13.3
Michigan,Farmington Hills,City,Race,2.1
Michigan,Flint,City,Race,10.9
Michigan,Grand Rapids,City,Race,7.8
Michigan,Kalamazoo,City,Race,2.0
Michigan,Lansing,City,Race,3.8
Michigan,Livonia,City,Race,3.4
Michigan,Pontiac,City,Race,2.0
Michigan,Rochester Hills,City,Race,1.7
Michigan,Southfield,City,Race,3.4
Michigan,Sterling Heights,City,Race,3.3
Michigan,Troy,City,Race,2.8
Michigan,Warren,City,Race,8.7
Michigan,Westland,City,Race,2.7
Michigan,Wyoming,City,Race,2.7
Michigan,,State,Race,318.2
Minnesota,Bloomington,City,Race,1.5
Minnesota,Brooklyn Park,City,Race,5.1
Minnesota,Duluth,City,Race,2.0
Minnesota,Eagan,City,Race,1.8
Minnesota,Maple Grove,City,Race,1.0
Minnesota,Minneapolis,City,Race,19.6
Minnesota,Plymouth,City,Race,2.5
Minnesota,Rochester,City,Race,4.6
Minnesota,St. Cloud,City,Race,4.8
Minnesota,St. Paul,City,Race,11.4
Minnesota,Woodbury,City,Race,1.0
Minnesota,,State,Race,88.1
Mississippi,Gulfport,City,Race,4.8
Mississippi,,State,Race,4.8
Missouri,Columbia,City,Race,2.0
Missouri,Independence,City,Race,4.5
Missouri,Kansas City,City,Race,28.1
Missouri,Lee'S Summit,City,Race,2.5
Missouri,O'Fallon,City,Race,1.3
Missouri,Springfield,City,Race,6.7
Missouri,St. Charles,City,Race,0.8
Missouri,St. Joseph,City,Race,0.8
Missouri,St. Louis,City,Race,6.6
Missouri,,State,Race,73.2
Montana,Billings,City,Race,3.1
Montana,Missoula,City,Race,1.8
Montana,,State,Race,16.2
Nebraska,Lincoln,City,Race,21.7
Nebraska,Omaha,City,Race,4.2
Nebraska,,State,Race,28.3
Nevada,Henderson,City,Race,3.4
Nevada,North Las Vegas,City,Race,3.1
Nevada,Reno,City,Race,1.5
Nevada,Sparks,City,Race,1.0
Nevada,,State,Race,35.9
New Hampshire,Manchester,City,Race,0.9
New Hampshire,Nashua,City,Race,2.3
New Hampshire,,State,Race,14.4
New Jersey,Bayonne,City,Race,0.0
New Jersey,Camden,City,Race,0.8
New Jersey,Clifton,City,Race,0.8
New Jersey,East Orange,City,Race,0.4
New Jersey,Elizabeth,City,Race,1.0
New Jersey,Jersey City,City,Race,4.4
New Jersey,Newark,City,Race,1.4
New Jersey,Passaic,City,Race,1.2
New Jersey,Paterson,City,Race,0.3
New Jersey,Trenton,City,Race,1.3
New Jersey,Union City,City,Race,0.7
New Jersey,,State,Race,270.1
New Mexico,Albuquerque,City,Race,6.8
