"State","HateType","Count"
"Alabama","Black Nationalist",3
"Alabama","Ku Klux Klan",5
"Alabama","Neo-Nazi",3
"Alabama","White Nationalist",2
"Alaska","General Hate",1
"Alaska","Neo-Nazi",1
"Alaska","White Nationalist",1
"Arizona","Anti-LGBT",4
"Arizona","Anti-Muslim",3
"Arizona","Black Nationalist",2
"Arizona","General Hate",1
"Arizona","Neo-Nazi",2
"Arizona","Racist Skinhead",1
"Arizona","White Nationalist",5
"Arkansas","Anti-Muslim",1
"Arkansas","Black Nationalist",1
"Arkansas","General Hate",1
"Arkansas","Ku Klux Klan",2
"Arkansas","Racist Skinhead",1
"California","Anti-LGBT",6
"California","Anti-Muslim",7
"California","Black Nationalist",6
"California","General Hate",6
"California","Ku Klux Klan",2
"California","Neo-Nazi",6
"California","Racist Skinhead",9
"California","White Nationalist",8
"Colorado","Anti-LGBT",5
"Colorado","Anti-Muslim",3
"Colorado","Black Nationalist",2
"Colorado","Ku Klux Klan",1
"Colorado","Neo-Nazi",2
"Colorado","Racist Skinhead",1
"Colorado","White Nationalist",1
"Connecticut","Anti-Muslim",1
"Connecticut","Black Nationalist",2
"Connecticut","General Hate",1
"Connecticut","Neo-Nazi",2
"Delaware","Anti-Muslim",1
"Delaware","Black Nationalist",1
"District of Columbia","Anti-LGBT",3
"District of Columbia","Anti-Muslim",8
"District of Columbia","Black Nationalist",5
"District of Columbia","General Hate",2
"District of Columbia","White Nationalist",2
"Florida","Anti-LGBT",4
"Florida","Anti-Muslim",7
"Florida","Black Nationalist",8
"Florida","General Hate",5
"Florida","Ku Klux Klan",4
"Florida","Neo-Nazi",5
"Florida","Racist Skinhead",4
"Florida","White Nationalist",4
"Georgia","Anti-LGBT",1
"Georgia","Anti-Muslim",1
"Georgia","Black Nationalist",8
"Georgia","General Hate",1
"Georgia","Ku Klux Klan",4
"Georgia","Neo-Nazi",5
"Georgia","Racist Skinhead",3
"Georgia","White Nationalist",5
"Hawaii","Black Nationalist",1
"Idaho","Anti-Muslim",3
"Idaho","General Hate",2
"Idaho","Ku Klux Klan",1
"Idaho","Neo-Nazi",1
"Idaho","Racist Skinhead",2
"Idaho","White Nationalist",1
"Illinois","Anti-LGBT",4
"Illinois","Anti-Muslim",2
"Illinois","Black Nationalist",8
"Illinois","General Hate",2
