Key,MedIncome,State
"Birmingham, Alabama",34057,Alabama
"Dothan, Alabama",43608,Alabama
"Hoover, Alabama",80141,Alabama
"Huntsville, Alabama",49789,Alabama
"Mobile, Alabama",39486,Alabama
"Montgomery, Alabama",41960,Alabama
"Tuscaloosa, Alabama",43555,Alabama
"Anchorage, Alaska",81154,Alaska
"Avondale, Arizona",56186,Arizona
"Casas Adobes, Arizona",61067,Arizona
"Chandler, Arizona",75930,Arizona
"Flagstaff, Arizona",55778,Arizona
"Gilbert, Arizona",87440,Arizona
"Glendale, Arizona",50196,Arizona
"Goodyear, Arizona",78202,Arizona
"Mesa, Arizona",52195,Arizona
"Peoria, Arizona",69111,Arizona
"Phoenix, Arizona",52403,Arizona
"San Tan Valley, Arizona",60549,Arizona
"Scottsdale, Arizona",81711,Arizona
"Surprise, Arizona",64036,Arizona
"Tempe, Arizona",53346,Arizona
"Tucson, Arizona",39930,Arizona
"Yuma, Arizona",45530,Arizona
"Fayetteville, Arkansas",40038,Arkansas
"Fort Smith, Arkansas",36626,Arkansas
"Jonesboro, Arkansas",43030,Arkansas
"Little Rock, Arkansas",49130,Arkansas
"North Little Rock, Arkansas",40257,Arkansas
"Springdale, Arkansas",49209,Arkansas
"Alameda, California",91527,California
"Alhambra, California",55395,California
"Anaheim, California",65988,California
"Antioch, California",73566,California
"Apple Valley, California",49044,California
"Arden-Arcade, California",45773,California
"Bakersfield, California",59126,California
"Baldwin Park, California",59508,California
"Bellflower, California",53558,California
"Berkeley, California",79360,California
"Buena Park, California",68006,California
"Burbank, California",71664,California
"Camarillo, California",88734,California
"Carlsbad, California",103736,California
"Carmichael, California",59962,California
"Carson, California",74854,California
"Chico, California",45210,California
"Chino, California",71072,California
"Chino Hills, California",100659,California
"Chula Vista, California",70947,California
"Citrus Heights, California",56016,California
"Clovis, California",68995,California
"Compton, California",48479,California
"Concord, California",79189,California
"Corona, California",75407,California
"Costa Mesa, California",77350,California
"Daly City, California",87362,California
"Davis, California",65143,California
"Downey, California",69205,California
"East Los Angeles, California",42268,California
"El Cajon, California",48372,California
"Elk Grove, California",88586,California
"El Monte, California",47265,California
"Escondido, California",58941,California
"Fairfield, California",73747,California
"Florence-Graham, California",39862,California
"Folsom, California",108110,California
"Fontana, California",65812,California
"Fremont, California",120639,California
"Fresno, California",45666,California
"Fullerton, California",72947,California
"Garden Grove, California",62844,California
"Glendale, California",60516,California
"Hawthorne, California",46783,California
"Hayward, California",80000,California
"Hemet, California",37816,California
"Hesperia, California",50947,California
"Huntington Beach, California",86337,California
"Indio, California",46023,California
"Inglewood, California",48399,California
"Irvine, California",98487,California
"Jurupa Valley, California",64946,California
"Laguna Niguel, California",98716,California
"Lake Forest, California",95851,California
"Lakewood, California",83860,California
"Lancaster, California",49839,California
"Livermore, California",113414,California
"Long Beach, California",58534,California
"Los Angeles, California",55551,California
"Lynwood, California",46751,California
"Manteca, California",64715,California
"Menifee, California",61031,California
"Merced, California",38735,California
"Milpitas, California",115413,California
"Mission Viejo, California",106798,California
"Modesto, California",54469,California
"Moreno Valley, California",60744,California
"Mountain View, California",125583,California
"Murrieta, California",79437,California
"Napa, California",74958,California
"Newport Beach, California",121252,California
"Norwalk, California",65610,California
"Oakland, California",65815,California
"Oceanside, California",64272,California
"Ontario, California",57810,California
"Orange, California",86221,California
"Oxnard, California",64368,California
"Palmdale, California",54985,California
"Palo Alto, California",144737,California
"Pasadena, California",76849,California
"Perris, California",55463,California
"Pittsburg, California",64922,California
"Pleasanton, California",143112,California
"Pomona, California",54692,California
"Rancho Cordova, California",60177,California
"Rancho Cucamonga, California",84013,California
"Redding, California",47520,California
"Redlands, California",67765,California
"Redondo Beach, California",101159,California
"Redwood City, California",105222,California
"Rialto, California",54242,California
"Richmond, California",61763,California
"Riverside, California",63918,California
"Roseville, California",79671,California
"Sacramento, California",54760,California
"Salinas, California",56931,California
"San Bernardino, California",40638,California
"San Buenaventura, California",72469,California
"San Clemente, California",94104,California
"San Diego, California",72005,California
"San Francisco, California",102237,California
"San Jose, California",99355,California
"San Leandro, California",63319,California
"San Marcos, California",74766,California
"San Mateo, California",107580,California
"San Ramon, California",146343,California
"Santa Ana, California",60647,California
"Santa Barbara, California",70582,California
"Santa Clara, California",111457,California
"Santa Clarita, California",90509,California
"Santa Maria, California",56088,California
"Santa Monica, California",88413,California
"Santa Rosa, California",69846,California
"Simi Valley, California",92667,California
"South Gate, California",47450,California
"South San Francisco, California",93942,California
"Stockton, California",49134,California
"Sunnyvale, California",122666,California
"Temecula, California",86616,California
"Thousand Oaks, California",103079,California
"Torrance, California",84830,California
"Tracy, California",83893,California
"Turlock, California",55123,California
"Tustin, California",75562,California
"Union City, California",104090,California
"Upland, California",66703,California
"Vacaville, California",80779,California
"Vallejo, California",62552,California
"Victorville, California",48918,California
"Visalia, California",57454,California
"Vista, California",65661,California
"Walnut Creek, California",93935,California
"West Covina, California",77795,California
"Westminster, California",57916,California
"Whittier, California",70216,California
"Yorba Linda, California",126801,California
"Yuba City, California",50190,California
"Arvada, Colorado",75488,Colorado
"Aurora, Colorado",60322,Colorado
"Boulder, Colorado",65076,Colorado
"Broomfield, Colorado",86736,Colorado
"Centennial, Colorado",101628,Colorado
"Colorado Springs, Colorado",58634,Colorado
"Denver, Colorado",61444,Colorado
"Fort Collins, Colorado",60534,Colorado
"Greeley, Colorado",52964,Colorado
"Highlands Ranch, Colorado",113725,Colorado
"Lakewood, Colorado",62461,Colorado
"Longmont, Colorado",64609,Colorado
"Loveland, Colorado",63374,Colorado
"Pueblo, Colorado",36924,Colorado
"Thornton, Colorado",75026,Colorado
"Westminster, Colorado",68580,Colorado
"Bridgeport, Connecticut",43194,Connecticut
"Danbury, Connecticut",67100,Connecticut
"Hartford, Connecticut",34851,Connecticut
"New Britain, Connecticut",41729,Connecticut
"New Haven, Connecticut",40514,Connecticut
"Norwalk, Connecticut",81166,Connecticut
"Stamford, Connecticut",84948,Connecticut
"Waterbury, Connecticut",39866,Connecticut
"Wilmington, Delaware",37811,Delaware
"Washington, District of Columbia",77835,District of Columbia
"Alafaya, Florida",71675,Florida
"Boca Raton, Florida",73766,Florida
"Boynton Beach, Florida",50766,Florida
"Brandon, Florida",57776,Florida
"Cape Coral, Florida",54276,Florida
"Clearwater, Florida",44083,Florida
"Coral Springs, Florida",71003,Florida
"Davie, Florida",63063,Florida
"Deerfield Beach, Florida",45459,Florida
"Delray Beach, Florida",56176,Florida
"Deltona, Florida",48331,Florida
"Fort Lauderdale, Florida",53456,Florida
"Fort Myers, Florida",41194,Florida
"Gainesville, Florida",33836,Florida
"Hialeah, Florida",31367,Florida
"Hollywood, Florida",49849,Florida
"Homestead, Florida",40229,Florida
"Jacksonville, Florida",50345,Florida
"Kendall, Florida",69209,Florida
"Kissimmee, Florida",39180,Florida
"Lakeland, Florida",44928,Florida
"Largo, Florida",40893,Florida
"Lauderhill, Florida",39241,Florida
"Lehigh Acres, Florida",45481,Florida
"Melbourne, Florida",43619,Florida
"Miami, Florida",35072,Florida
"Miami Beach, Florida",51591,Florida
"Miami Gardens, Florida",41384,Florida
"Miramar, Florida",67427,Florida
"Orlando, Florida",46386,Florida
"Palm Bay, Florida",45972,Florida
"Palm Coast, Florida",49526,Florida
"Pembroke Pines, Florida",65757,Florida
"Pine Hills, Florida",37100,Florida
"Plantation, Florida",67460,Florida
"Pompano Beach, Florida",45318,Florida
