City,State,Value,Count,Type,Region
Abilene,Texas,White,2,Race,City
Akron,Ohio,Black,3,Race,City
Akron,Ohio,White,6,Race,City
Akron,Ohio,Middle Eastern,1,Race,City
Akron,Ohio,Unspecified,1,Race,City
Alameda,California,Black,1,Race,City
Albany,Georgia,Black,1,Race,City
Albany,Georgia,Unspecified,1,Race,City
Albany,New York,Black,1,Race,City
Albany,New York,White,1,Race,City
Albuquerque,New Mexico,Black,1,Race,City
Albuquerque,New Mexico,White,12,Race,City
Albuquerque,New Mexico,Hispanic,22,Race,City
Albuquerque,New Mexico,Native American,1,Race,City
Albuquerque,New Mexico,Unspecified,3,Race,City
Alexandria,Virginia,White,1,Race,City
Alexandria,Virginia,Hispanic,1,Race,City
Alexandria,Virginia,Unspecified,1,Race,City
Alhambra,California,Hispanic,1,Race,City
Allen,Texas,Black,1,Race,City
Allen,Texas,Unspecified,1,Race,City
Amarillo,Texas,Black,2,Race,City
Amarillo,Texas,White,3,Race,City
Amarillo,Texas,Hispanic,3,Race,City
Amarillo,Texas,Unspecified,2,Race,City
Anaheim,California,Black,4,Race,City
Anaheim,California,White,1,Race,City
Anaheim,California,Hispanic,5,Race,City
Anaheim,California,Unspecified,4,Race,City
Anchorage,Alaska,White,4,Race,City
Anchorage,Alaska,Hispanic,1,Race,City
Anchorage,Alaska,Native American,3,Race,City
Anchorage,Alaska,Unspecified,5,Race,City
Antioch,California,Black,4,Race,City
Antioch,California,White,2,Race,City
Antioch,California,Hispanic,3,Race,City
Apple Valley,California,White,1,Race,City
Apple Valley,California,Hispanic,1,Race,City
Appleton,Wisconsin,Black,2,Race,City
Appleton,Wisconsin,White,1,Race,City
Arlington,Texas,Black,5,Race,City
Arlington,Texas,White,2,Race,City
Arlington,Texas,Hispanic,2,Race,City
Arlington,Texas,Unspecified,2,Race,City
Arlington,Virginia,Asian,1,Race,City
Arlington,Virginia,White,1,Race,City
Arlington,Virginia,Unspecified,1,Race,City
Arvada,Colorado,Hispanic,2,Race,City
Asheville,North Carolina,Black,1,Race,City
Atlanta,Georgia,Black,21,Race,City
Atlanta,Georgia,Asian,1,Race,City
Atlanta,Georgia,White,2,Race,City
Atlanta,Georgia,Unspecified,5,Race,City
Auburn,Washington,Black,1,Race,City
Auburn,Washington,Asian,1,Race,City
Auburn,Washington,White,1,Race,City
Auburn,Washington,Native American,1,Race,City
Auburn,Washington,Unspecified,1,Race,City
Aurora,Colorado,Black,4,Race,City
Aurora,Colorado,Asian,1,Race,City
Aurora,Colorado,White,2,Race,City
Aurora,Colorado,Unspecified,5,Race,City
Aurora,Illinois,Hispanic,2,Race,City
Austin,Texas,Black,4,Race,City
Austin,Texas,White,15,Race,City
Austin,Texas,Hispanic,4,Race,City
Austin,Texas,Middle Eastern,1,Race,City
Austin,Texas,Unspecified,3,Race,City
Avondale,Arizona,White,2,Race,City
Avondale,Arizona,Hispanic,1,Race,City
Bakersfield,California,Black,2,Race,City
Bakersfield,California,White,7,Race,City
Bakersfield,California,Hispanic,12,Race,City
Bakersfield,California,Unspecified,5,Race,City
Baltimore,Maryland,Black,18,Race,City
Baltimore,Maryland,White,1,Race,City
Baltimore,Maryland,Unspecified,3,Race,City
Baton Rouge,Louisiana,Black,18,Race,City
Beaumont,Texas,Black,1,Race,City
