State,numGroups,mostCommon,hateGroups
Virginia,16,White Nationalist,"American Renaissance/New Century Foundation, The New Byzantium Project, Christian Action Network, ProEnglish, The Right Stuff, Crew 38, Aryan Strikeforce, American Immigration Control Foundation/Americans for Immigration Control"
New York,4,Black Nationalist,"Black Riders Liberation Party, Aryan Strikeforce, Foundation for Advocating Christian Truth, Golden Dawn, Israelite School of Universal Practical Knowledge, American Freedom Defense Initiative, Blood and Honour Social Club, All Eyes on Egipt Bookstore"
Texas,21,Black Nationalist,"Truth in Textbooks, Vinlanders Social Club, Probe Ministries, The Right Stuff, G416 Patriots, Yahushua Dual Seed Christian Identity Ministry, Israelite School of Universal Practical Knowledge, IHS Press"
New Jersey,11,Black Nationalist,"All Eyes on Egipt Bookstore, Elegy Records, Ancient Egyptian Distribution Company, Identity Evropa, Israel United In Christ, The Daily Stormer, Forza Nuova, Aryan Strikeforce"
Florida,59,Black Nationalist,"Irving Books, American Guard, American College of Pediatricians, Citizens' Action Group of South Florida, Real Republic of Florida, Firm 22, Identity Evropa, Vanguard America"
Montana,20,White Nationalist,"ACT for America, American Freedom Party, American Security Rally of Montana, Pioneer Little Europe Kalispell Montana, Radix Journal, The Daily Stormer"
Oklahoma,6,Black Nationalist,"ACT for America, New Black Panther Party for Self Defense, Nation of Islam, Israelite School of Universal Practical Knowledge, Israel United in Christ, Aryan Nations Sadistic Souls MC, Truth in History, Vanguard America"
Washington,2,Black Nationalist,"Verity Baptist Church, Pacific Coast Knights of the Ku Klux Klan , Patriot Front, Counter-Currents Publishing, Northwest Hammerskins, Vanguard America, Northwest Front, Truth in Love Project"
Louisiana,25,Black Nationalist,"Israel United In Christ, Die Auserwahlten, ACT for America, Israelite School of Universal Practical Knowledge, Nation of Islam, New Black Panther Party, Ruth Institute, Christian America Ministries"
Delaware,47,Anti-Muslim,"ACT for America, Nation of Islam"
Massachusetts,32,Black Nationalist,"Nation of Islam, Mass Resistance, Israel United In Christ, The Daily Stormer, Abiding Truth Ministries, ACT for America, Vanguard America, Concerned Citizens and Friends of Illegal Immigration Law Enforcement"
California,1,Racist Skinhead,"California Skinheads, The Right Stuff, Jewish Defense League, Loyal White Knights of the Ku Klux Klan, Asatru Folk Assembly, American Freedom Party, WeSearchr, Golden State Skinheads"
Connecticut,12,Black Nationalist,"ACT for America, American Guard, Israelite Church of God in Jesus Christ, The Daily Stormer, United Nuwaubian Nation of Moors/All Eyes on Egipt, Vanguard America"
Ohio,29,Neo-Nazi,"Vanguard America, Ku Klos Knights of the Ku Klux Klan , Women for Aryan Unity, Soldiers of Odin , Faith2Action, ACT for America, Southern Ohio Knights of the Ku Klux Klan, Mission: America"
Colorado,29,Anti-LGBT,"Team America Political Action Committee, Generations With Vision, Christian Civil Rights Watch, Golden State Skinheads, Soldiers of Odin , Loyal White Knights of the Ku Klux Klan, Colorado Alliance for Immigration Reform, The Pray in Jesus Name Project"
Iowa,4,Anti-Muslim,"ACT for America, Gallows Tree Wotansvolk Alliance, Great Millstone, The Daily Stormer"
Illinois,4,Black Nationalist,"World Congress of Families/International Organization for the Family, Ku Klos Knights of the Ku Klux Klan, White Boy Society, Soldiers of Odin , America First Committee, Euro Folk Radio, Resistance Records, Israelite School of Universal Practical Knowledge"
Indiana,10,Neo-Nazi,"Hoosier Headhunters Fight Club, ACT for America, Ku Klos Knights of the Ku Klux Klan, Gallows Tree Wotansvolk Alliance, National Socialist Movement, The Campus Ministry USA, Soldiers of Odin, American Vikings"
North Carolina,9,Black Nationalist,"Identity Dixie, Vanguard America, Israelite Church of God in Jesus Christ, Americans for Legal Immigration (ALIPAC), Great Millstone, Traditionalist Worker Party, ACT for America, Blood and Honour U.S.A"
Arkansas,3,Christian Identity,"ACT for America, Aryan Strikeforce, Ozark Craft LC, Nation of Islam, League of the South, Divine Truth Ministries, International Keystone Knights of the Ku Klux Klan , Knights of the Ku Klux Klan"
Missouri,19,Black Nationalist,"Council of Conservative Citizens, American Guard, Nation of Islam, Confederate White Knights of the Ku Klux Klan , Conservative Citizens Foundation, Inc., The Daily Stormer, Church of Israel, Mass Resistance"
Tennessee,9,Anti-Muslim,"Confederate Hammerskins, Nation of Islam, Mary Noel Kershaw Foundation, National Alliance, Political Islam, Wolves of Vinland, ACT for America, Ku Klos Knights of the Ku Klux Klan "
Idaho,27,Anti-Muslim,"Endangered Souls RC/Crew 519, Traditionalist American Knights of the Ku Klux Klan , ACT for America, Crew 38, The Brother Nathanael Foundation, Lordship Church, Committee to End the CSI Refugee Center, Campaign for Radical Truth in History"
Minnesota,12,Black Nationalist,"ACT for America, Identity Evropa, Gallows Tree Wotansvolk Alliance, Israelite Church of God in Jesus Christ, The Daily Stormer, Sons of Liberty Media (formerly You Can Run But You Cannot Hide), Asatru Folk Assembly, The Remnant/The Remnant Press"
New Hampshire,13,Racist Skinhead,"National Alliance, Crew 38, Eastern Hammerskins, ACT for America, Firm 22, Vanguard America, IHM Media, Slaves of the Immaculate Heart of Mary"
South Dakota,15,Anti-Muslim,"ACT for America, American Clarion, Creativity Movement, Fundamentalist Latter Day Saints, Keep South Dakota Safe PAC, PzG Inc., Traditionalist American Knights of the Ku Klux Klan"
Oregon,6,Racist Skinhead,"American Front, Black Riders Liberation Party, True Cascadia, Vanguard America, The Right Stuff, Israelite Church of God in Jesus Christ, Oregonians for Immigration Reform, Israelite School of Universal Practical Knowledge"
Arizona,9,White Nationalist,"Free American, Identity Evropa, Fundamentalist Latter Day Saints, American Border Patrol, Vinlanders Social Club, Alliance Defending Freedom, Nation of Islam, United Families International"
District of Columbia,9,Anti-Muslim,"Family Research Council, Clarion Project, Center for Security Policy, Immigration Reform Law Institute , The Right Stuff, Unconstrained Analytics, As-Sabiqun, Israelite School of Universal Practical Knowledge"
New Mexico,9,General Hate,Aggressive Christianity
Georgia,12,Black Nationalist,"Identity Evropa, The Dustin Inman Society, Washington Summit Publishers, New Black Panther Party, American Guard, Sacred Knights of the Ku Klux Klan, International Keystone Knights of the Ku Klux Klan , Israel United In Christ"
Michigan,1,Neo-Nazi,"Israelite School of Universal Practical Knowledge, Secure Michigan, Vanguard America, American Freedom Law Center, American Nazi Party, Gallows Tree Wotansvolk Alliance, Yahweh's Truth, Identity Evropa"
Alabama,42,Ku Klux Klan,"Global Crusaders: Order of the Ku Klux Klan, League of the South, National Socialist Liberation Front, American Christian Dixie Knights of the Ku Klux Klan, Great Millstone, Covenant Nation Church of the Lord Jesus Christ, Israel United In Christ, Borderkeepers of Alabama"
Pennsylvania,27,Racist Skinhead,"United Klans of America , Poker Face, Israel United In Christ, Robert Sungenis, The Right Stuff, The Daily Stormer, Crew 38, H.L. Mencken Club"
Mississippi,2,Ku Klux Klan,"Pace Confederate Depot, International Keystone Knights of the Ku Klux Klan, Church of the American Christian Knights, Loyal White Knights of the Ku Klux Klan, United Dixie White Knights of the Ku Klux Klan, National Socialist Movement, American Family Association, Mississippi White Knights of the Ku Klux Klan"
Maryland,25,Black Nationalist,"Confederate White Knights of the Ku Klux Klan, Loyal White Knights of the Ku Klux Klan, Israelite Church of God in Jesus Christ, Council of Conservative Citizens, Jamaat al-Muslimeen, East Coast Knights of the True Invisible Empire, Nation of Islam, Refugee Resettlement Watch"
North Dakota,8,Neo-Volkisch,"American Freedom Party, Asatru Folk Assembly"
Wisconsin,18,Neo-Nazi,"Revolutionary Black Panther Party, Great Millstone, Stahlhelm Records, Citizens for the St. Croix Valley, Samanta Roy Institute of Science and Technology, Aryan Nations Sadistic Souls MC, Nation of Islam, White Devil Social Club"
Alaska,31,General Hate,"Asatru Folk Assembly, Last Frontier Evangelism - Repent Alaska, The Daily Stormer, True Cascadia"
South Carolina,3,White Nationalist,"Nation of Islam, Southern Future, Loyal White Knights of the Ku Klux Klan, National Socialist Movement, Red Ice, True Light Pentecost Church, Israelite School of Universal Practical Knowledge, Patriotic Flags"
West Virginia,12,Neo-Nazi,"Asatru Folk Assembly, National Alliance, Original Knight Riders Knights of the Ku Klux Klan, Vanguard America"
