City,State,Type,Year,CrimePerCapita,Gini,HSPerc
,Alabama,State,2017,0.018462497,0.4768,0.865
Hoover,Alabama,Cities,2017,0.700656281,0.4472,0.976
,Alaska,State,2017,0.054069033,0.4241,0.917
Anchorage,Alaska,Cities,2017,0.03376234,0.4175,0.923
,Arizona,State,2017,0.393371407,0.4668,0.872
Avondale,Arizona,Cities,2017,0.118989541,0.4124,0.812
Chandler,Arizona,Cities,2017,0.040103467,0.4131,0.929
Gilbert,Arizona,Cities,2017,0.123920856,0.3954,0.974
Glendale,Arizona,Cities,2017,0.200583296,0.4813,0.817
Mesa,Arizona,Cities,2017,0.101570689,0.4496,0.889
Scottsdale,Arizona,Cities,2017,0.158831004,0.5007,0.972
Tucson,Arizona,Cities,2017,0.093927935,0.4551,0.857
Yuma,Arizona,Cities,2017,0.314063776,0.44,0.765
,Arkansas,State,2017,0.0233001,0.4725,0.867
Fayetteville,Arkansas,Cities,2017,0.116833349,0.5099,0.938
Fort Smith,Arkansas,Cities,2017,0.452299377,0.4695,0.807
,California,State,2017,0.268611508,0.4866,0.833
Alameda,California,Cities,2017,1.253745565,0.453,0.872
Alhambra,California,Cities,2017,0.116461888,0.4709,0.824
Anaheim,California,Cities,2017,0.028296548,0.4419,0.762
Antioch,California,Cities,2017,0.089085272,0.4352,0.852
Apple Valley,California,Cities,2017,0.136789549,0.4725,0.872
Bakersfield,California,Cities,2017,0.183652802,0.437,0.792
Bellflower,California,Cities,2017,0.128231432,0.4212,0.78
Berkeley,California,Cities,2017,1.87468925,0.5019,0.966
Buena Park,California,Cities,2017,0.119685944,0.4198,0.863
Burbank,California,Cities,2017,0.764657529,0.4762,0.933
Camarillo,California,Cities,2017,0.147679948,0.459,0.935
Carlsbad,California,Cities,2017,0.606880289,0.4628,0.961
Carson,California,Cities,2017,0.107536132,0.4003,0.799
Chico,California,Cities,2017,0.108156048,0.4934,0.952
Chino,California,Cities,2017,0.67099083,0.4103,0.767
Chino Hills,California,Cities,2017,0.125817816,0.378,0.899
Citrus Heights,California,Cities,2017,0.226947779,0.4061,0.896
Concord,California,Cities,2017,0.077048132,0.3827,0.876
Corona,California,Cities,2017,0.118228465,0.404,0.871
Costa Mesa,California,Cities,2017,0.176573936,0.4316,0.84
Daly City,California,Cities,2017,0.093148899,0.3853,0.85
Davis,California,Cities,2017,1.02130143,0.5473,0.969
El Cajon,California,Cities,2017,0.574454029,0.4542,0.87
Elk Grove,California,Cities,2017,0.231722859,0.4119,0.899
El Monte,California,Cities,2017,0.258246677,0.4189,0.556
Escondido,California,Cities,2017,0.327128791,0.4327,0.789
Fairfield,California,Cities,2017,0.257793971,0.4562,0.865
Fontana,California,Cities,2017,0.141655098,0.4041,0.766
Fremont,California,Cities,2017,0.084613823,0.3958,0.932
Fresno,California,Cities,2017,0.227976085,0.4858,0.773
Garden Grove,California,Cities,2017,0.398937686,0.4364,0.74
Hayward,California,Cities,2017,0.247805374,0.3824,0.842
Hesperia,California,Cities,2017,0.318160607,0.4287,0.782
Huntington Beach,California,Cities,2017,0.098890449,0.458,0.937
Indio,California,Cities,2017,0.111043251,0.4781,0.796
Inglewood,California,Cities,2017,0.180487497,0.4402,0.782
Irvine,California,Cities,2017,0.144867175,0.4333,0.949
Lake Elsinore,California,Cities,2017,0.151203581,0.3952,0.825
Lakewood,California,Cities,2017,0.860828609,0.3773,0.917
Lancaster,California,Cities,2017,0.435721711,0.4487,0.844
Livermore,California,Cities,2017,0.22103111,0.4217,0.935
Lodi,California,Cities,2017,0.15374681,0.4783,0.791
Long Beach,California,Cities,2017,0.360630212,0.4797,0.798
Los Angeles,California,Cities,2017,0.626380814,0.5226,0.776
Manteca,California,Cities,2017,0.509139046,0.4159,0.862
